pmid,title,pub_year,pubtype,journal
33328257,Collaboration between patient organisations and a clinical research sponsor in a rare disease condition: learnings from a community advisory board and best practice for future collaborations.,2020,"Journal Article; Research Support, Non-U.S. Gov't",BMJ open
33316300,Elucidation of molecular pathogenesis and drug development for psychiatric disorders from rare disease-susceptibility variants.,2021,Journal Article; Review,Neuroscience research
33299965,Rare Disease Research Partnership (RAinDRoP): a collaborative approach to identify research priorities for rare diseases in Ireland.,2020,Journal Article,HRB open research
33298475,Colonic inflammatory myofibroblastic tumour presenting as 'pyrexia of unknown origin': report of a rare disease and its unique presentation.,2020,Case Reports; Journal Article,BMJ case reports
33294356,An uncommon presentation of a rare disease: A case of anti-glomerular basement membrane disease without renal involvement.,2020,Case Reports; Journal Article,Respiratory medicine case reports
33294092,Pseudomyxoma pleurii: unusual location of a rare disease.,2021,Case Reports; Journal Article,Radiology case reports
33269150,Non-familial Juvenile Polyposis Syndrome Presenting as Rectal Prolapse: An Unusual Presentation of a Rare Disease.,2020,Case Reports; Journal Article,Cureus
33264505,Liver Allocation for Rare Disease: Does the MELD Score Suffice?,2020,Editorial,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons
33255540,The EuRRECa Project as a Model for Data Access and Governance Policies for Rare Disease Registries That Collect Clinical Outcomes.,2020,"Journal Article; Research Support, Non-U.S. Gov't; Review",International journal of environmental research and public health
33244164,A state-based approach to genomics for rare disease and population screening.,2021,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Genetics in medicine : official journal of the American College of Medical Genetics
33240713,"Are Consanguineous Marriages to Blame for Usher Syndrome Type 1, a Rare Disease in Pakistan?",2020,Case Reports; Journal Article,Cureus
33238891,Expediting rare disease diagnosis: a call to bridge the gap between clinical and functional genomics.,2020,"Journal Article; Research Support, Non-U.S. Gov't; Review","Molecular medicine (Cambridge, Mass.)"
33238733,Renal limited ANCA-positive vasculitis: a rare manifestation of a rare disease.,2020,Case Reports; Journal Article,Journal of investigative medicine high impact case reports
33218310,"Evaluation of two family-based intervention programs for children affected by rare disease and their families - research network (CARE-FAM-NET): study protocol for a rater-blinded, randomized, controlled, multicenter trial in a 2x2 factorial design.",2020,"Clinical Trial Protocol; Journal Article; Research Support, Non-U.S. Gov't",BMC family practice
33197776,Omental tuberculosis (TB) is a rare disease which can mimic Gastrointestinal malignancies: A case report.,2020,Case Reports; Journal Article,International journal of surgery case reports
33197725,Hepatic lobe torsion: A rare disease necessitating surgical management.,2021,Case Reports; Journal Article,Clinical imaging
33178652,Acute Cervical Longitudinally Extensive Transverse Myelitis in a Child With Lipopolysaccharide-Responsive-Beige-Like-Anchor-Protein (LRBA) Deficiency: A New Complication of a Rare Disease.,2020,Case Reports; Journal Article,Frontiers in pediatrics
33172868,A common complaint… a rare disease!,2022,Journal Article,Archives of disease in childhood. Education and practice edition
33168538,Secondary sclerosing cholangitis in critically ill patients: a rare disease precipitated by severe SARS-CoV-2 infection.,2020,Case Reports; Journal Article,BMJ case reports
33168042,Improvements needed to support people living and working with a rare disease in Northern Ireland: current rare disease support perceived as inadequate.,2020,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
33159724,[Creutzfeldt-Jakob Disease: Atypical Presentation of a Very Rare Disease].,2021,Case Reports; Journal Article,Acta medica portuguesa
33150098,A Case Report on an Extremely Rare Disease: Factor XI Deficiency.,2020,Case Reports; Journal Article,Cureus
33148566,Melioidosis of the nervous system: atypical presentation of a rare disease in a 48-year-old man.,2020,Case Reports; Journal Article,BMJ case reports
33147635,Leveraging the UMLS As a Data Standard for Rare Disease Data Normalization and Harmonization.,2020,Journal Article,Methods of information in medicine
33133943,A Navajo Patient with Morbihan's Disease: Insight into Oculoplastic Treatment of a Rare Disease.,2020,Case Reports; Journal Article,Plastic and reconstructive surgery. Global open
33101180,A Comprehensive Analysis of 2013 Dystrophinopathies in China: A Report From National Rare Disease Center.,2020,Journal Article,Frontiers in neurology
33101045,Editorial: Advancing Genomics for Rare Disease Diagnosis and Therapy Development.,2020,Editorial,Frontiers in pharmacology
33088135,Unicentric Castleman's Disease Masquerading as Retroperitoneal Sarcoma-Two Paraneoplastic Presentations of a Rare Disease.,2020,Case Reports; Journal Article,Indian journal of surgical oncology
33082753,Cutaneous Adnexal Carcinoma with Apocrine Differentiation: A Challenging Diagnosis and Personalized Treatment with mTOR Inhibitor in a Very Rare Disease.,2020,Case Reports; Journal Article,Case reports in oncology
33070806,Aorto-left ventricular tunnel: case series of a rare disease.,2021,Journal Article,Cardiology in the young
33051127,Effective provider-patient communication of a rare disease diagnosis: A qualitative study of people diagnosed with schwannomatosis.,2021,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",Patient education and counseling
33046132,The urgent need to empower rare disease organizations in China: an interview-based study.,2020,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
33042673,"Polyneuropathy, Organomegaly, Endocrinopathy, Monoclonal Gammopathy, and Skin Changes (POEMS) Syndrome With IgG Kappa/IgG Lambda Biclonal Gammopathy: A Rare Presentation of a Rare Disease.",2020,Case Reports; Journal Article,Cureus
33040127,Kimura's disease: a rare disease with cervical lymphadenopathy.,2020,Case Reports; Journal Article,JPMA. The Journal of the Pakistan Medical Association
33017829,Leukemic Phase of Histiocytic Sarcoma of the Digestive System: A Rare Manifestation of a Rare Disease.,2021,Case Reports; Journal Article,Acta haematologica
33008662,"Re: Alison Birtle, Mark Johnson, John Chester, et al. Adjuvant Chemotherapy in Upper Tract Urothelial Carcinoma (the POUT Trial): A Phase 3, Open-label, Randomised Controlled Trial. Lancet 2020;395:1268-77: A New Standard for a Rare Disease? Optimizing the Timing of Chemotherapy for Upper Tract Urothelial Carcinoma.",2021,Letter; Comment,European urology
33006565,Phenotypically Similar Rare Disease Identification from an Integrative Knowledge Graph for Data Harmonization: Preliminary Study.,2020,Journal Article,JMIR medical informatics
33001239,"[Syncope, pain in the large joints, and painful swelling of the right eye in a 51-year-old patient : Pitfalls in the diagnosis and treatment of a rare disease].",2020,Journal Article,Der Internist
33000299,Radiation-induced toxicities and outcomes after radiotherapy are independent of patient age in elderly salivary gland cancer patients: results from a matched-pair analysis of a rare disease.,2021,Journal Article,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery
32974874,Accelerating Rare Disease Drug Development: Lessons Learned from Muscular Dystrophy Patient Advocacy Groups.,2021,Journal Article,Therapeutic innovation & regulatory science
32969205,Evaluating systematic reanalysis of clinical genomic data in rare disease from single center experience and literature review.,2020,"Evaluation Study; Journal Article; Research Support, Non-U.S. Gov't; Review",Molecular genetics & genomic medicine
32953893,Global Distribution of Common Variable Immunodeficiency (CVID) in the Light of the UNDP Human Development Index (HDI): A Preliminary Perspective of a Rare Disease.,2020,Journal Article; Meta-Analysis,Journal of immunology research
32950696,Assessing Prevalence and Characteristics of Rare Disease Cardiomyopathies: A Modest Proposal.,2020,Editorial; Comment,Journal of cardiac failure
32931946,Impact of COVID-19 pandemic on patients with rare disease in Hong Kong.,2020,Journal Article,European journal of medical genetics
32922057,"Malnutrition-Modulated Diabetes Mellitus in Children, Rare Disease with Atypical Presentation: Case Report.",2020,Case Reports; Journal Article,"Diabetes, metabolic syndrome and obesity : targets and therapy"
32918642,Correction to: Alpha-1 Antitrypsin Deficiency: a Rare Disease?,2020,Published Erratum,Current allergy and asthma reports
32916720,IgG4-related sclerosing cholangitis presenting as an isolated intrahepatic stenosis: a rare presentation of a rare disease.,2021,Case Reports; Journal Article,Endoscopy
32914504,Untapped opportunities for rare disease gene discovery in India.,2020,Letter,American journal of medical genetics. Part A
32900712,Primary hepatic neuroendocrine tumour masquerading as a giant haemangioma: an unusual presentation of a rare disease.,2020,Case Reports; Journal Article,BMJ case reports
32883327,FDA orphan products clinical trial grants: assessment of outcomes and impact on rare disease product development.,2020,Journal Article,Orphanet journal of rare diseases
32872166,Literature-Wide Association Studies (LWAS) for a Rare Disease: Drug Repurposing for Inflammatory Breast Cancer.,2020,Journal Article; Meta-Analysis,"Molecules (Basel, Switzerland)"
32867839,Participation in patient support forums may put rare disease patient data at risk of re-identification.,2020,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
32844078,"Comprehensive Rare Disease Care model for screening and diagnosis of rare genetic diseases - an experience of private medical college and hospital, South India.",2020,Journal Article,Intractable & rare diseases research
32840055,Antiphospholipid Syndrome Is Still a Rare Disease-Estimated Prevalence in the Piedmont and Aosta Valley Regions of Northwest Italy: Comment on the Article by Duarte-García et al.,2020,"Letter; Research Support, Non-U.S. Gov't; Comment","Arthritis & rheumatology (Hoboken, N.J.)"
32825888,A rare disease mimicking lung cancer.,2020,Case Reports; Journal Article,The Indian journal of tuberculosis
32805742,Expanded access: opening doors to personalized medicine for rare disease patients and patients with neurodegenerative diseases.,2021,"Journal Article; Research Support, N.I.H., Extramural; Review",The FEBS journal
32802600,Synchronous Primary Endometrial and Ovarian Cancers: Trends and Outcomes of the Rare Disease at a South Asian Tertiary Care Cancer Center.,2020,Journal Article,Cureus
32791196,Case studies in rare disease small molecule discovery and development.,2020,Journal Article; Review,Bioorganic & medicinal chemistry letters
32787960,A guide to writing systematic reviews of rare disease treatments to generate FAIR-compliant datasets: building a Treatabolome.,2020,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
32764115,SARS-CoV-2 disrupts clinical research: the role of a rare disease-specific trial network.,2020,Letter; Comment,The European respiratory journal
32749716,Natural history of multiple sulfatase deficiency: Retrospective phenotyping and functional variant analysis to characterize an ultra-rare disease.,2020,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Journal of inherited metabolic disease
32728417,Thoracic aortic aneurysm causing aorto-esophageal fistula-our experience with a rare disease.,2020,Case Reports; Journal Article,Journal of surgical case reports
32721881,Appendiceal torsion in Ehlers-Danlos syndrome: A case report of a rare phenomenon in a rare disease.,2020,Case Reports; Journal Article,International journal of surgery case reports
32690107,Are supplemental appraisal/reimbursement processes needed for rare disease treatments? An international comparison of country approaches.,2020,"Journal Article; Research Support, Non-U.S. Gov't",Orphanet journal of rare diseases
32685989,Wild-type transthyretin cardiac amyloidosis: When is a rare disease no longer a rare disease?,2021,Editorial,Journal of nuclear cardiology : official publication of the American Society of Nuclear Cardiology
32684650,Macrophagic myofasciitis: an atypical presentation for a rare disease with a challenging approach.,2020,Case Reports; Journal Article,Reumatologia
32682190,Revisiting a rare disease: Oral cavity basaloid squamous cell carcinoma at a high-volume tertiary center.,2020,Journal Article,American journal of otolaryngology
32676559,Pachydermoperiostosis: Classic Presentation of a Rare Disease.,2020,Case Reports; Journal Article,Mediterranean journal of rheumatology
32665834,Synovial Pit of the femoral neck: a rare disease with rare presentations.,2020,Case Reports; Journal Article,Journal of surgical case reports
32655885,Children's rare disease cohorts: an integrative research and clinical genomics initiative.,2020,Journal Article,NPJ genomic medicine
32648315,A rare complication of a rare disease: Pericarditis due to ruptured pericardial cyst.,2020,Case Reports; Journal Article,"Echocardiography (Mount Kisco, N.Y.)"
32636960,A rare disease of primary cardiac intimal sarcoma at the left atrium presented with mimicking mitral stenosis in a patient with polycystic kidney disease.,2020,Case Reports; Journal Article,Journal of cardiology cases
32621178,Thalassemia in the emergency department: special considerations for a rare disease.,2020,Journal Article; Review,Annals of hematology
32620589,Ultra-rare disease: an European perspective.,2020,Editorial,European respiratory review : an official journal of the European Respiratory Society
35847711,Stomatocytes and macrothrombocytopenia: A blood film for a rare disease.,2020,Journal Article,EJHaem
32619640,Improved Diagnosis of Rare Disease Patients through Systematic Detection of Runs of Homozygosity.,2020,"Journal Article; Research Support, Non-U.S. Gov't",The Journal of molecular diagnostics : JMD
32611674,Propensity Score Methods in Rare Disease: A Demonstration Using Observational Data in Systemic Lupus Erythematosus.,2021,"Journal Article; Research Support, Non-U.S. Gov't; Review",The Journal of rheumatology
32609633,[Kommerell diverticulum – rare complications of a rare disease].,2020,Journal Article,Magyar sebeszet
32604639,Charting Early Developmental Trajectory of a Pilot Rare Disease Registry in Slovenia.,2020,Journal Article,Studies in health technology and informatics
32583653,Bio-behavioural research in a rare disease population: a doctoral student's experience.,2020,Journal Article,Nurse researcher
32578090,[Tenosynovial giant-cell tumour - a rare disease].,2020,Journal Article; Review,MMW Fortschritte der Medizin
32576213,"Raising rare disease awareness using red flags, role play simulation and patient educators: results of a novel educational workshop on Raynaud phenomenon and systemic sclerosis.",2020,Journal Article; Review,Orphanet journal of rare diseases
32572624,Alpha-1 Antitrypsin Deficiency: a Rare Disease?,2020,Journal Article; Review,Current allergy and asthma reports
32565890,Anal canal cancer in Brazil: why should we pay more attention to the epidemiology of this rare disease?,2020,Journal Article; Review,Ecancermedicalscience
32559466,MCT8 deficiency: collaborative rare disease phenotyping for care and research.,2020,Journal Article; Comment,The lancet. Diabetes & endocrinology
32556019,Lipoid Proteinosis: A Rare Disease In Pediatric Dentistry.,2020,Journal Article,Brazilian dental journal
32539033,Scleroedema of Buschke in conjunction with ovarian carcinoma: rare association of a rare disease.,2020,Case Reports; Journal Article,The journal of the Royal College of Physicians of Edinburgh
32532167,CORRIGENDUM to Individuals with the Rare Disease Pemphigus: A Quest for Diagnostic.,2020,Journal Article; Published Erratum,Qualitative health research
32487475,"Mycotic pseudoaneurysm of the extracranial carotid artery, a severe and rare disease, a case report.",2020,Case Reports; Journal Article,International journal of surgery case reports
32479143,Estimating health state utilities associated with a rare disease: familial chylomicronemia syndrome (FCS).,2020,Journal Article,Journal of medical economics
32460895,The Medical Genome Initiative: moving whole-genome sequencing for rare disease diagnosis to the clinic.,2020,Journal Article,Genome medicine
32457038,Potential COVID-19 therapeutics from a rare disease: weaponizing lipid dysregulation to combat viral infectivity.,2020,"Journal Article; Research Support, N.I.H., Extramural; Review",Journal of lipid research
32454451,"Axillary enlargement in gestational gigantomastia, an uncommon presentation of a rare disease. A case report.",2020,Case Reports; Journal Article,International journal of surgery case reports
32410949,MCT8 Deficiency: The Road to Therapies for a Rare Disease.,2020,Journal Article; Review,Frontiers in neuroscience
32406626,Consideration of a Legislative Framework to Support the Diagnostic Odyssey Commonly Encountered in the Instance of Rare Disease.,2020,Journal Article,Journal of law and medicine
32399330,Metastatic Acetabular Fracture: A Rare Disease Presentation of Recurrent Head and Neck Paraganglioma.,2020,Case Reports; Journal Article,Cureus
32389052,Primary Malignant Cardiac Tumors: A Rare Disease With an Adventurous Journey.,2020,Editorial; Comment,Journal of the American Heart Association
32368496,Urothelial carcinoma of bladder in a pediatric patient case report of a rare disease.,2020,Case Reports; Journal Article,Urology case reports
32354833,A quick reference guide for rare disease: supporting rare disease management in general practice.,2020,"Journal Article; Research Support, Non-U.S. Gov't",The British journal of general practice : the journal of the Royal College of General Practitioners
32348367,Deep learning in rare disease. Detection of tubers in tuberous sclerosis complex.,2020,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",PloS one
32345347,A scoping review and proposed workflow for multi-omic rare disease research.,2020,"Journal Article; Research Support, Non-U.S. Gov't; Scoping Review",Orphanet journal of rare diseases
32332674,Fibrodysplasia ossificans progressiva-a rare disease with distinctive features yet still a diagnostic challenge: A case report.,2020,Case Reports; Journal Article,Medicine
32315351,PRIORI-T: A tool for rare disease gene prioritization using MEDLINE.,2020,Journal Article,PloS one
32313251,Boosting delivery of rare disease therapies: the IRDiRC Orphan Drug Development Guidebook.,2020,News,Nature reviews. Drug discovery
32308375,Assessing Preferences for Rare Disease Treatment: Qualitative Development of the Paroxysmal Nocturnal Hemoglobinuria Patient Preference Questionnaire (PNH-PPQ,2020,Journal Article,Patient preference and adherence
32303432,Intravascular histiocytosis: case report of a rare disease probably associated with silicone breast implant.,2020,Case Reports; Journal Article,Anais brasileiros de dermatologia
32299862,Deprivation and prognosis in patients with pulmonary arterial hypertension: missing the effect of deprivation on a rare disease?,2020,Letter; Comment,The European respiratory journal
32299708,Rare Disease Patients as Potential Organ Donors.,2020,Evaluation Study; Journal Article,Transplantation proceedings
32294851,[A cross-sectional study on current status of rare disease related health information based on WeChat official accounts in China].,2020,Journal Article; Systematic Review,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi
32281260,First clinical picture of a very rare disease: Primary cutaneous adenomyoepithelioma.,2020,Case Reports; Letter,Journal of cosmetic dermatology
32265828,Rare Disease: Cardiac Risk Assessment With MRI in Patients With Myotonic Dystrophy Type 1.,2020,Journal Article,Frontiers in neurology
32257755,A case of primary hepatic mucosa-associated lymphoid tissue lymphoma incidentally found in the sustained virological response state of chronic hepatitis C: review of the literature of this rare disease.,2020,Case Reports; Journal Article,International cancer conference journal
32257464,Hyperparathyroidism Jaw Tumor Syndrome Presenting as Recurrent Femur Fractures in a Young Woman; a Rare Presentation of a Rare Disease.,2020,Case Reports; Journal Article,Case reports in endocrinology
32240232,Rare disease in Malaysia: Challenges and solutions.,2020,Journal Article,PloS one
32239901,Bullous aplasia cutis congenita: A rare presentation of a rare disease.,2020,Case Reports; Letter,Dermatology online journal
32223825,Primary Adrenal Hodgkin Lymphoma: A Rare Disease Manifestation.,2020,Case Reports; Journal Article,The American surgeon
32223819,Splenic Abscess: Characterizing Management and Outcomes for a Rare Disease.,2020,Journal Article,The American surgeon
32217012,Hepatic Epithelioid Hemangioendothelioma: A Rare Disease With Favorable Outcomes After Liver Transplantation.,2020,Journal Article,Transplantation proceedings
32208084,Clearing Muddy Waters: The Need to Reconceptualize Minor Increase over Minimal Risk in Pediatric Rare Disease Research.,2020,"Editorial; Research Support, Non-U.S. Gov't",The American journal of bioethics : AJOB
32206820,Buschke-Ollendorff syndrome in a 6-year-old patient: clinical and histopathological aspects of a rare disease.,2020,Case Reports; Journal Article,"Acta dermatovenerologica Alpina, Pannonica, et Adriatica"
32182694,Determining How Far an Adult Rare Disease Patient Needs to Travel for a Definitive Diagnosis: A Cross-Sectional Examination of the 2018 National Rare Disease Survey in China.,2020,"Journal Article; Research Support, Non-U.S. Gov't",International journal of environmental research and public health
32161151,Use of a rare disease registry for establishing phenotypic classification of previously unassigned,2020,"Journal Article; Research Support, Non-U.S. Gov't",Journal of medical genetics
32161073,Oral focal mucinosis of the palate: a rare disease entity.,2020,Case Reports; Journal Article,BMJ case reports
32156527,Metastatic adult pancreatoblastoma: Multimodal treatment and molecular characterization of a very rare disease.,2020,Case Reports; Journal Article,Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.]
32151394,Paracoccidioidomycosis: Endobronchial Involvement in a Rare Disease in Europe.,2020,Journal Article,Archivos de bronconeumologia
32148995,Hemorrhagic Stroke in Relapsing Polychondritis: A Rare Complication of a Rare Disease.,2020,Case Reports; Journal Article,Case reports in rheumatology
32133412,Skull-Base Inflammatory Pseudotumor Involving the Trigeminal and Facial Nerves: A Singular Presentation of a Rare Disease.,2020,Case Reports; Journal Article,"Surgery journal (New York, N.Y.)"
32128950,Understanding genetic learning needs of people affected by rare disease.,2020,Journal Article,Journal of genetic counseling
32117845,A Review of Rare Disease Policies and Orphan Drug Reimbursement Systems in 12 Eurasian Countries.,2019,Systematic Review; Journal Article,Frontiers in public health
32110234,Transcanal endoscopic assisted skull base endolymphatic sac tumor resection: A rare disease with advanced technology.,2020,Journal Article,Journal of otology
32108627,Collagenofibrotic glomerulopathy - A rare disease diagnosed with the aid of transmission electron microscopy.,2020,Case Reports; Journal Article,Indian journal of pathology & microbiology
32106873,A civil society view of rare disease public policy in six Latin American countries.,2020,"Journal Article; Research Support, Non-U.S. Gov't; Review",Orphanet journal of rare diseases
32103413,Cystic fibrosis: a rare disease emerging in China.,2020,Journal Article; Review,Science China. Life sciences
32102600,Assessing a Student With a Rare Disease.,2020,Journal Article,NASN school nurse (Print)
32069207,Identifying Patients with Rare Disease Using Electronic Health Record Data: The Kaiser Permanente Southern California Membranous Nephropathy Cohort.,2020,Journal Article,The Permanente journal
32065047,Innovative design and analysis for rare disease drug development.,2020,Journal Article,Journal of biopharmaceutical statistics
32050984,Machine learning application for development of a data-driven predictive model able to investigate quality of life scores in a rare disease.,2020,Journal Article,Orphanet journal of rare diseases
32048216,Influence of Pharmaceutical Company Engagement Activities on the Decision to Prescribe: A Pilot Survey of UK Rare Disease Medicine Prescribers.,2020,"Journal Article; Research Support, Non-U.S. Gov't",Pharmaceutical medicine
32048210,Factors Influencing the Generation of Evidence from Simple Data Held in International Rare Disease Patient Registries.,2020,"Journal Article; Research Support, Non-U.S. Gov't",Pharmaceutical medicine
32031327,Global research on Fabry's disease: Demands for a rare disease.,2020,Journal Article,Molecular genetics & genomic medicine
32027664,"Using referral rates for genetic testing to determine the incidence of a rare disease: The minimal incidence of congenital hyperinsulinism in the UK is 1 in 28,389.",2020,"Journal Article; Research Support, Non-U.S. Gov't",PloS one
32001553,Is gastric cancer becoming a rare disease? A global assessment of predicted incidence trends to 2035.,2020,Journal Article; Multicenter Study,Gut
32000756,Pancreatic abscess within hepato-gastric ligament: case report of an extremely rare disease.,2020,Case Reports; Journal Article,BMC surgery
31994957,Biological therapy in hereditary angioedema: transformation of a rare disease.,2020,Journal Article; Review,Expert opinion on biological therapy
37180498,Introducing Therapeutic Advances in Rare Disease.,2020,Editorial,Therapeutic advances in rare disease
31979933,Case Report: Unusual Presentation of a Rare Disease : Amegakaryocytic Thrombocytopenia.,2020,Case Reports; Journal Article,The Journal of the Association of Physicians of India
31970606,Amassing Granular Information About Eosinophilic Gastrointestinal Disorders Through Multicenter Cooperation: A Paradigm for Rare Disease Study.,2020,Editorial; Comment,Digestive diseases and sciences
31964856,Hypertensive kidney disease: a true epidemic or rare disease?,2020,Journal Article; Review,Polish archives of internal medicine
31960231,Latent process model of the 6-minute walk test in Duchenne muscular dystrophy : A Bayesian approach to quantifying rare disease progression.,2020,Journal Article,Journal of pharmacokinetics and pharmacodynamics
35949662,A rare disease that presents with acute severe hepatitis: Kikuchi-Fujimoto disease.,2020,Journal Article,Hepatology forum
31924535,Accounting for diversity in rare disease research and precision medicine.,2020,Editorial; Comment,"Oral surgery, oral medicine, oral pathology and oral radiology"
31911408,Abernethy malformation and hepatocellular carcinoma: a serious consequence of a rare disease.,2020,Case Reports; Journal Article,BMJ case reports
31883128,Choosing between medical management and liver transplant in urea cycle disorders: A conceptual framework for parental treatment decision-making in rare disease.,2020,"Journal Article; Research Support, Non-U.S. Gov't",Journal of inherited metabolic disease
31863629,Objectivity in rare disease research: A philosophical approach.,2020,Journal Article,Nursing inquiry
31838158,Isolated autoimmune adrenocorticotropic hormone deficiency: From a rare disease to the dominant cause of adrenal insufficiency related to check point inhibitors.,2020,Journal Article,Autoimmunity reviews
31743423,Adult T-cell leukaemia/lymphoma in Brazil: A rare disease or rarely diagnosed?,2020,"Letter; Research Support, Non-U.S. Gov't",British journal of haematology
31676876,A statistical framework for rare disease diagnosis.,2020,Journal Article; Comment,Nature reviews. Genetics
31597187,[Breast Cancer in Men - Health Care Professionals' Perspectives on the Multidisciplinary Care of a Rare Disease].,2020,Journal Article,Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany))
31501267,Genetic Counseling and Genome Sequencing in Pediatric Rare Disease.,2020,Journal Article; Review,Cold Spring Harbor perspectives in medicine
31420817,"Human germline genome editing is illegal in Canada, but could it be desirable for some members of the rare disease community?",2020,Journal Article; Review,Journal of community genetics
31018713,Effective treatment of disseminated superficial actinic porokeratosis with chemical peels - customary treatment for a rare disease.,2020,Case Reports; Journal Article,The Journal of dermatological treatment
30967414,Hepatitis D: not a rare disease anymore: global update for 2017-2018.,2020,"Letter; Research Support, Non-U.S. Gov't; Comment",Gut
30892965,Paces of Costly Care: Rare Disease Drug Access in Canada.,2020,"Journal Article; Research Support, Non-U.S. Gov't",Medical anthropology
30618426,Caecal duplication cyst: A rare disease with variable presentation and its management in the era of laparoscopy.,2020,Case Reports; Journal Article,Journal of minimal access surgery
30234899,Cardiac sarcoidosis and ventricular arrhythmias. A rare association of a rare disease. A retrospective cohort study from the National Inpatient Sample and current evidence for management.,2020,Journal Article; Observational Study,Cardiology journal
30229639,Non-familial porphyria cutanea tarda: a rare disease.,2020,Case Reports; Letter,"Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia"
29998711,Meeting a rare disease: bullous ichthyosiform erythroderma.,2020,Case Reports; Journal Article,"Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia"
36177257,Proteus syndrome with sciatic nerve fibrolipomatous hamartoma: an uncommon finding in a rare disease: report of two cases with literature review.,2022,Case Reports; Journal Article,BJR case reports
36004139,Commentary: Descending necrotizing mediastinitis: Reclassifying a rare disease.,2021,Editorial,JTCVS open
35698938,Paracoccidioidomycosis: Endobronchial Involvement in a Rare Disease in Europe.,2021,Journal Article,Archivos de bronconeumologia
35649145,The impact of the rare disease and Orphan Drug Act in Taiwan.,2021,"Journal Article; Research Support, Non-U.S. Gov't",Journal of food and drug analysis
35415112,Ollier's Disease - Rare Presentation of the Rare Disease.,2021,Case Reports; Journal Article,Journal of orthopaedic case reports
35291389,A rare disease with pregnancy: Castleman case report.,2021,Case Reports; Journal Article,Malawi medical journal : the journal of Medical Association of Malawi
