pmid,title,pub_year,pubtype,journal
5225654,"[Considerations on a rare disease of the salivary glands. Kuttner's inflammatory ""pseudo-tumor""].",1966,Case Reports; Journal Article,Annali di stomatologia
5615738,[Contribution to the knowledge of a rare disease: Papillon-Lefevre syndrome].,1967,Journal Article,La Clinica pediatrica
5608233,[Hepatic cirrhosis and beta-thalassemia: a not so rare disease association].,1967,Journal Article,Archivio italiano delle malattie dell'apparato digerente
4183050,"[Functional morphology of the pancreas, demonstrated on rare disease conditions].",1967,Journal Article,Die Medizinische Welt
6039756,Ainhum. A rare disease.,1967,Case Reports; Journal Article,Indian journal of medical sciences
5742161,[Autoerythrocyte sensitization syndrome: a rare disease?].,1968,Journal Article,Lakartidningen
5704026,[A rare disease of the biliary tract: ascaridiasis].,1968,Journal Article,Der Chirurg; Zeitschrift fur alle Gebiete der operativen Medizen
5370803,[Rare disease course of a rhinogenic extradural abscess].,1969,Journal Article,HNO
5269833,[Dental aspects of a rare disease: congenital porphyria. Description of a case].,1969,Journal Article,Rivista italiana di stomatologia
5383582,Sporotrichosis (a rare disease in India).,1969,Journal Article,Indian journal of dermatology
5508070,[Subacute sclerosing leukoencephalitis - a rare disease picture?].,1970,Journal Article,Kinderarztliche Praxis
5444403,Rabies: a rare disease but a serious pediatric problem.,1970,Journal Article,Pediatrics
5199178,[Epidermiolysis bullosa: a rare disease].,1970,Journal Article,L' Infirmiere canadienne
5113210,A rare disease: apparently congenital stenosis of the perineal urethra in men. Apropos of 2 cases.,1971,Journal Article,Journal d'urologie et de nephrologie
5108750,Asymptomatic goiter as an expression of a rare disease.,1971,Case Reports; Journal Article,Clinical pediatrics
4641593,[Intraosseous angioma of the temporal bone--a rare disease].,1972,Journal Article,"Zeitschrift fur Laryngologie, Rhinologie, Otologie und ihre Grenzgebiete"
5052792,"[A case of the rare disease, Touraine's polyfibromatosis].",1972,Journal Article,Vestnik dermatologii i venerologii
4776222,[Pseudotuberculosis-a rare disease?].,1973,Journal Article,Die Medizinische Welt
4206485,Aspergillus species endocarditis. The new face of a not so rare disease.,1974,Journal Article,The American journal of medicine
1242166,High altitude pulmonary edema. A rare disease?,1975,Case Reports; Journal Article,JAMA
1190813,Poststreptococcal nephritis--a rare disease?,1975,Journal Article,Archives of disease in childhood
1107243,Granulomatous histoplasmosis of the eye: a rare disease.,1975,Case Reports; Journal Article; Review,International ophthalmology clinics
969807,[Fournier's gangrene--a rare disease].,1976,Case Reports; Journal Article,Zeitschrift fur Hautkrankheiten
994391,[Infantile hysterical amblyopia--no rare disease (author's transl)].,1976,Case Reports; English Abstract; Journal Article,Klinische Monatsblatter fur Augenheilkunde
942248,Letter: Poststreptococcal nephritis--still not a rare disease in Thailand.,1976,Journal Article,Archives of disease in childhood
859660,"[The ""rare disease"" syndrome].",1977,Case Reports; Journal Article,Nederlands tijdschrift voor geneeskunde
265658,[Cervico-facial actinomycosis--a rare disease?].,1977,Case Reports; Journal Article,ZWR
17844025,Guillain-barre: rare disease paralyzes Swine flu campaign.,1977,Journal Article,"Science (New York, N.Y.)"
311109,"[Opinion on the work by H. Günther and W. Keitel ""Recurrent Rheumatism--a Rare Disease Complex?"" in the ""Z. ärztl. Fortbild."" vol. 71(1977), No. 18, p. 869 and K. Taubert's reply to it in the ""Zeitschrift für ärztliche Fortbildung"" vol. 72 (1978), No. 6, p. 305].",1978,Journal Article,Zeitschrift fur arztliche Fortbildung
571615,[E.E.G. recordings during the course of a rare disease: piroplasmosis (author's transl)].,1978,Case Reports; English Abstract; Journal Article,Revue d'electroencephalographie et de neurophysiologie clinique
284435,[A rare disease: erythema exudativum multiforme (Stevens-Johnson-Fuchs syndrome)].,1978,Journal Article,Die Quintessenz
213749,[Kaposi sarcoma. A short review on a rare disease].,1978,English Abstract; Journal Article,Onkologie
564579,[Allergic alveolitis--a rare disease picture?].,1978,Journal Article,ZFA. Zeitschrift fur Allgemeinmedizin
547300,[Gemmangioma--a rare disease (author's transl)].,1979,Case Reports; English Abstract; Journal Article,"Radiobiologia, radiotherapia"
44654,"[Bilateral rupture of the quadriceps tendon, a rare disease pattern (author's transl)].",1979,Case Reports; English Abstract; Journal Article,Aktuelle Traumatologie
299341,[Marble disease (a rare disease of bones and teeth) -- with the description of one patient].,1979,Case Reports; Journal Article,Stomatologiia. Stomatology
440183,[Acromegaly. A rare disease].,1979,Journal Article,Medizinische Klinik
532711,Malignant hypertension--improving prognosis in a rare disease.,1979,Journal Article,Acta medica Scandinavica
462059,[Sarcoidosis in São Paulo: truly a very rare disease?].,1979,English Abstract; Journal Article,Revista paulista de medicina
6901523,Boerhaave's syndrome: a rare disease with some not so rare implications for nursing care.,1980,Case Reports; Journal Article,Heart & lung : the journal of critical care
6898146,Genetic counselling: the one-in-four risk of a rare disease.,1980,Case Reports; Journal Article,Nursing mirror
7318082,[A rare disease: congenital pre-retinal macular fibrosis].,1981,Case Reports; English Abstract; Journal Article,Bulletin des societes d'ophtalmologie de France
7281479,Bilateral dysgenetic polycystic parotid glands. Morphological analysis and differential diagnosis of a rare disease of the salivary glands.,1981,Case Reports; Journal Article,"Virchows Archiv. A, Pathological anatomy and histology"
7124721,On the need for the rare disease assumption in case-control studies.,1982,"Journal Article; Research Support, U.S. Gov't, P.H.S.",American journal of epidemiology
7156707,Measles giant cell pneumonia in adult: a rare disease occurring in normal as well immunosuppressed hosts.,1982,Case Reports; Journal Article,Revista do Instituto de Medicina Tropical de Sao Paulo
6212512,[Esophageal sarcoma in Zenker's diverticulum. Difficult diagnosis of a rare disease picture].,1982,Case Reports; Journal Article,RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin
7099868,[Agenesis of the corpus callosum and involvement of the anterior horn of the spinal cord. A rare disease].,1982,English Abstract; Journal Article,Pediatrie
7055123,A two stage design for the study of the relationship between a rare exposure and a rare disease.,1982,"Journal Article; Research Support, U.S. Gov't, P.H.S.",American journal of epidemiology
6214403,Redundant nerve roots of the cauda equina. A rare disease?,1982,Journal Article,European neurology
6664918,[A rare disease of the lymph nodes - sinus histiocytosis with massive lymphadenopathy].,1983,Journal Article,"Polski tygodnik lekarski (Warsaw, Poland : 1960)"
6843419,"Is leptospirosis a ""rare"" disease?",1983,Editorial,The Medical journal of Australia
6857613,[Sickle cell anemia--a rare disease in Norway].,1983,Case Reports; English Abstract; Journal Article,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke"
6221002,[Otophyma--a rare disease].,1983,Case Reports; English Abstract; Journal Article,HNO
6515392,[Dermatosparaxis in a foal and a cow--a rare disease?].,1984,Case Reports; English Abstract; Journal Article,Schweizer Archiv fur Tierheilkunde
6397327,Salmonella mediastinitis--a rare disease.,1984,Case Reports; Journal Article,Computerized radiology : official journal of the Computerized Tomography Society
6505472,"[Bruton's disease, a rare disease?].",1984,Case Reports; Comparative Study; Journal Article,Revue medicale de la Suisse romande
6505427,[Thyroid tuberculosis: rare disease or rarely diagnosed?].,1984,Case Reports; Journal Article,La Revue de medecine interne
6719924,Plague--perspectives on a rare disease.,1984,Journal Article,The Western journal of medicine
6588149,Osteogenesis imperfecta congenita: dental features of a rare disease.,1984,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",Journal of oral medicine
6516982,[Emphysematous pyelonephritis. A rare disease. Critical analysis of the literature. Apropos of a new case].,1984,Case Reports; English Abstract; Journal Article,Acta urologica Belgica
4058144,[Malignant melanoma of the rectum--a rare disease with poor prognosis].,1985,Case Reports; Journal Article,Lakartidningen
4065433,The doctor and the rare disease.,1985,Editorial,Developmental medicine and child neurology
2415886,"John, a boy with a rare disease.",1985,Case Reports; Journal Article,The New Zealand nursing journal. Kai tiaki
2991784,"[Linitis plastica, a rare disease picture].",1985,Case Reports; English Abstract; Journal Article,Nederlands tijdschrift voor geneeskunde
3974561,Mammary tuberculosis. A rare disease which may mimic carcinoma of the breast.,1985,Case Reports; Journal Article,Missouri medicine
2981146,Granular cell tumor of the proximal esophagus. A rare disease.,1985,Case Reports; Journal Article,Cancer
4084914,Cerebellar tuberculoma: a rare disease in an industrialized country.,1985,Case Reports; Journal Article,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery
4000348,IgA nephropathy is not a rare disease in the United Kingdom.,1985,Journal Article,Nephron
3812931,[H-H-H syndrome: a rare disease also relevant in anesthesiology].,1986,Case Reports; English Abstract; Journal Article,"Anasthesie, Intensivtherapie, Notfallmedizin"
3776970,"The rare-disease assumption revisited. A critique of ""estimators of relative risk for case-control studies"".",1986,"Journal Article; Research Support, U.S. Gov't, P.H.S.",American journal of epidemiology
3804706,Amyotrophic choreoacanthocytosis: is it really a very rare disease?,1986,Case Reports; Journal Article,Italian journal of neurological sciences
3024930,[Phylloides tumors of the breast. A rare disease picture with a predominantly favorable prognosis].,1986,Case Reports; English Abstract; Journal Article,Der Chirurg; Zeitschrift fur alle Gebiete der operativen Medizen
3722259,Intrapericardial teratoma in infancy: a rare disease.,1986,Case Reports; Journal Article,The Journal of cardiovascular surgery
2873513,[100 years of acromegaly: general lessons about a rare disease].,1986,Journal Article,Nederlands tijdschrift voor geneeskunde
3715277,[Chronic bromide poisoning. A rare disease picture today].,1986,Case Reports; English Abstract; Journal Article,Schweizerische Rundschau fur Medizin Praxis = Revue suisse de medecine Praxis
3962514,[Aberrant course of the left pulmonary artery--a contribution to a rare disease picture].,1986,Case Reports; Journal Article,"Zeitschrift fur Kinderchirurgie : organ der Deutschen, der Schweizerischen und der Osterreichischen Gesellschaft fur Kinderchirurgie = Surgery in infancy and childhood"
3957725,"[Tuberculosis of the head, neck and ear--a rare disease?].",1986,Case Reports; English Abstract; Journal Article,HNO
3945193,Revised values for the parameters of the sets technique for monitoring the incidence rate of a rare disease.,1986,Journal Article,Methods of information in medicine
3510068,Hemorrhagic colitis due to Escherichia coli O157:H7. A rare disease?,1986,Journal Article,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne
3432862,Narcolepsy is a rare disease in Israel.,1987,Letter,Sleep
3328657,[Malignant schwannoma of the ileum: an extremely rare disease entity (presentation of a case and review of the literature)].,1987,Case Reports; Journal Article; Review,Chirurgia italiana
2962106,[Peritoneal actinomycosis. A rare disease. 2 cases].,1987,Case Reports; English Abstract; Journal Article,"Presse medicale (Paris, France : 1983)"
3665763,[Mesenteric lipomatosis. A rare disease often misdiagnosed as ascites].,1987,Case Reports; English Abstract; Journal Article,Deutsche medizinische Wochenschrift (1946)
2444005,Malignant fibrous histiocytoma of the lung: prognosis and therapy of a rare disease. Report of two cases and review of the literature.,1987,Case Reports; Journal Article; Review,The Thoracic and cardiovascular surgeon
3564235,"Rediscovering a ""rare"" disease: a patient's perspective on interstitial cystitis.",1987,Journal Article,Urology
3586510,[Rare disease of the small intestine].,1987,Case Reports; Journal Article,Khirurgiia
3583706,Is rheumatic fever a rare disease?,1987,Letter,Israel journal of medical sciences
3492766,Haemophilus ducreyi infection in south Florida: a rare disease on the rise?,1987,Journal Article,Southern medical journal
3589375,"[Splenic abscess, a rare disease difficult to diagnose and treat].",1987,Case Reports; English Abstract; Journal Article,Revista de gastroenterologia de Mexico
2978816,"[Rett syndrome: a ""new"" and rare disease. A clinical case].",1988,Case Reports; English Abstract; Journal Article,Dental Cadmos
2975989,"[Hyperparathyroidism in the elderly: a rare disease, often unknown].",1988,English Abstract; Journal Article; Review,La Clinica terapeutica
3269823,"[Nasolabial cysts, a rare disease. Clinical case].",1988,Case Reports; Journal Article,Dental Cadmos
2845521,[OPLL--a rare disease picture].,1988,Case Reports; Journal Article,RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin
3137186,Gonococcal endocarditis: a rare disease.,1988,Case Reports; Journal Article,Israel journal of medical sciences
3407897,[Malignant hyperthermia. An unusual course of a rare disease].,1988,Case Reports; Journal Article,Der Anaesthesist
3354097,[Mercury poisoning. A rare disease in Denmark].,1988,Case Reports; English Abstract; Journal Article,Ugeskrift for laeger
3392905,[Rare disease combinations in abdominal surgery].,1988,Case Reports; Journal Article,Klinicheskaia meditsina
3273504,[Is multiple sclerosis really a rare disease in Spain?].,1988,Letter,"Neurologia (Barcelona, Spain)"
3211570,[Dermatomyositis--a rare disease in children].,1988,Case Reports; English Abstract; Journal Article,Padiatrie und Grenzgebiete
2584569,Atrial tachycardia: a rare disease sheds light on common questions.,1989,"Comment; Editorial; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Journal of the American College of Cardiology
2531505,[Thorotrastosis--a rare disease picture in internal medicine].,1989,Case Reports; English Abstract; Journal Article,Zeitschrift fur die gesamte innere Medizin und ihre Grenzgebiete
2792695,Upper gastrointestinal bleeding from a duodenal duplication: an unusual complication of a rare disease.,1989,Case Reports; Letter,Gastrointestinal endoscopy
2606047,Thyrotoxicosis in northern Nigeria: a rare disease.,1989,Journal Article,East African medical journal
2676696,[Lipoma of the uterus. Clinical aspects and pathology of a rare disease entity].,1989,Case Reports; English Abstract; Journal Article,Geburtshilfe und Frauenheilkunde
2703133,[Disseminated peritoneal leiomyomatosis. A rare disease picture].,1989,Case Reports; Journal Article,Geburtshilfe und Frauenheilkunde
2629357,[A rare disease course in plasmacytoma].,1989,Case Reports; Journal Article,Zeitschrift fur arztliche Fortbildung
2255418,[Churg-Strauss syndrome: is it a rare disease?].,1990,Case Reports; English Abstract; Journal Article,Minerva medica
2272231,[Pancreatico-pleural fistula. Clinical aspects and therapy of a rare disease entity].,1990,Case Reports; Journal Article,Der Chirurg; Zeitschrift fur alle Gebiete der operativen Medizen
2356838,Childhood leukemia near nuclear plants in the United Kingdom: the evolution of a systematic approach to studying rare disease in small geographic areas.,1990,Journal Article,American journal of epidemiology
2366890,Sinus histiocytosis with massive lymphadenopathy. A rare disease in the differential diagnosis of a common problem.,1990,Case Reports; Journal Article,North Carolina medical journal
11646748,Gene implant therapy is backed for children with rare disease.,1990,News; Newspaper Article,The New York times on the Web
2190942,Case-control designs in the study of common diseases: updates on the demise of the rare disease assumption and the choice of sampling scheme for controls.,1990,Journal Article; Review,International journal of epidemiology
1764603,Lymphangioleiomyomatosis. Diagnostic imaging approach to a rare disease in women.,1991,Case Reports; Journal Article,RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin
1771938,[Ileocecal tuberculosis. A rare disease picture].,1991,Case Reports; English Abstract; Journal Article,Zeitschrift fur Gastroenterologie
1948773,[Juvenile chronic arthritis: a rare disease with potentially serious consequences].,1991,English Abstract; Journal Article; Review,Therapeutische Umschau. Revue therapeutique
1940237,Intussusception in the adult--a rare disease.,1991,Case Reports; Journal Article,The Journal of emergency medicine
1816669,Acute intermittent porphyria in Nigerians; a rare disease or a low suspicion index?,1991,Case Reports; Journal Article; Review,Tropical and geographical medicine
1844382,[Musculocutaneous and visceral cysticercosis: a rare disease?].,1991,English Abstract; Journal Article,Revista do Instituto de Medicina Tropical de Sao Paulo
1867973,[Adenocarcinoma of the distal ileal loop: a rare disease at the typical site for Crohn's disease].,1991,Case Reports; Journal Article; Review,Il Giornale di chirurgia
1419206,A geostatistical approach to the analysis of pattern in rare disease.,1992,"Journal Article; Research Support, Non-U.S. Gov't",Journal of public health medicine
1628549,"Sheehan's syndrome in a developing country, Nigeria: a rare disease or problem of diagnosis?",1992,Journal Article,East African medical journal
1529638,[The celiac trunk compression syndrome: a rare disease picture].,1992,Case Reports; Journal Article,VASA. Zeitschrift fur Gefasskrankheiten
8236569,[Pulmonary rheumatoid nodules. A rare disease onset in rheumatoid arthritis].,1993,Case Reports; Journal Article,Ugeskrift for laeger
8361436,Rare disease surveillance in children.,1993,Letter,The Medical journal of Australia
8102510,"A rare disease-associated mutation in the medium-chain acyl-CoA dehydrogenase (MCAD) gene changes a conserved arginine, previously shown to be functionally essential in short-chain acyl-CoA dehydrogenase (SCAD).",1993,"Journal Article; Research Support, Non-U.S. Gov't",American journal of human genetics
7689162,The conundrum of xeroderma pigmentosum--a rare disease with frequent complexities.,1993,"Journal Article; Research Support, U.S. Gov't, P.H.S.; Review",Mutation research
8377769,[Pulmonary artery sling. A rare disease picture with variable clinical symptoms].,1993,Case Reports; Journal Article; Review,Monatsschrift Kinderheilkunde : Organ der Deutschen Gesellschaft fur Kinderheilkunde
8374519,Marrow histomorphology and clinical staging of chronic lymphocytic leukemia--a rare disease in India: experience with 26 cases.,1993,Journal Article,Leukemia & lymphoma
8484291,[Ménétrier disease--a rare disease of the stomach].,1993,Case Reports; English Abstract; Journal Article; Review,Zentralblatt fur Chirurgie
8362145,[Toxocariasis. A rare disease or rarely recognized?].,1993,Editorial,Revista de gastroenterologia de Mexico
7876020,"[Panniculitis mesenterialis, a rare disease].",1994,Case Reports; English Abstract; Journal Article,Helvetica chirurgica acta
7865253,Rare disease surveillance.,1994,"Journal Article; Research Support, Non-U.S. Gov't",Journal of paediatrics and child health
7939193,"[Lipo-atrophic diabetes, ""a rare disease of adipocytes?""].",1994,Journal Article,La Revue du praticien
11640370,[From dreaded epidemic to rare disease - smallpox in Sweden 1750-1900].,1994,English Abstract; Historical Article; Journal Article,Nordisk medicinhistorisk arsbok
8275732,Chylothorax in Gorham's syndrome. A common complication of a rare disease.,1994,Case Reports; Journal Article; Review,Chest
8569862,Multiple hereditary telangiectases with recurring hemorrhage. A rare disease of clinical interest to Osler.,1995,Biography; Historical Article; Journal Article,North Carolina medical journal
8545336,[Primary hepatic actinomycosis: current management of a rare disease].,1995,Case Reports; Letter,"Presse medicale (Paris, France : 1983)"
8610293,Recurrent bilateral carotid body tumors. A case report on a 'typical' course of a rare disease.,1995,Case Reports; Journal Article,The Thoracic and cardiovascular surgeon
7659067,Congenital leukemia: comprehensive nursing care for a rare disease: a case study.,1995,Case Reports; Journal Article,Neonatal network : NN
7611598,Insulinoma: cost-effective care in patients with a rare disease.,1995,Comment; Editorial,Annals of internal medicine
7483739,[Malignant lymphomatous polyposis--a rare disease entity of malignant centrocytic lymphoma with characteristic endoscopic appearance].,1995,English Abstract; Journal Article,Zeitschrift fur Gastroenterologie
7631098,"[Sigmoid volvulus--clinical, radiological and therapeutic aspects of rare disease].",1995,Case Reports; Journal Article,Praxis
7546027,Hantavirus infection: a rare disease which you should be aware.,1995,Journal Article; Review,Boletin de la Asociacion Medica de Puerto Rico
8787986,The TDT reveals linkage and linkage disequilibrium in a rare disease.,1995,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Genetic epidemiology
8787984,Effects of marker information on sib-pair linkage analysis of a rare disease.,1995,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, P.H.S.",Genetic epidemiology
8787975,Model-free association analysis of a rare disease.,1995,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Genetic epidemiology
7478109,Peritoneal aspergillosis--pitfalls in the diagnosis of a rare disease.,1995,Comment; Editorial,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association"
9006752,The Rosai-Dorfman syndrome in a 17-year-old woman with transformation into high-grade lymphoma. A rare disease presentation.,1996,Case Reports; Letter,Annals of oncology : official journal of the European Society for Medical Oncology
9199091,[Allergic fungal sinusitis: is this rare disease an allergy or infection?].,1996,Case Reports; English Abstract; Journal Article,Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale
8918647,The patient with insidious chronic renal failure and the patient with the nephrotic syndrome--two manifestations of a protean and not so rare disease.,1996,Case Reports; Comparative Study; Journal Article,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association"
9433203,Primary pulmonary hypertension: care of patients with this rare disease.,1996,Case Reports; Journal Article,Nursing spectrum (D.C./Baltimore metro ed.)
8767100,[Lymphangioleiomyomatosis--a rare disease of the lymphatic system].,1996,Case Reports; English Abstract; Journal Article,Der Chirurg; Zeitschrift fur alle Gebiete der operativen Medizen
8793715,Tick bite fever in black South Africans--a rare disease?,1996,Case Reports; Journal Article,The Journal of infection
8668983,[Idiopathic hypoparathyroidism--a rare disease?].,1996,Case Reports; English Abstract; Journal Article,Schweizerische medizinische Wochenschrift
9103945,Methods for investigating localized clustering of disease. Geostatistics for determining the risk of rare disease.,1996,Journal Article,IARC scientific publications
8929789,Idiopathic multicentric osteolysis: a rare disease mimicking juvenile chronic arthritis.,1996,Case Reports; Letter,Clinical rheumatology
8729603,Tuberculous mastitis: a rare disease.,1996,Case Reports; Journal Article,The British journal of clinical practice
9536609,Gastrointestinal autonomic nerve tumour presenting as small bowel volvulus: a rare disease with a rare presentation.,1997,Case Reports; Journal Article,International journal of clinical practice
9393480,Congenital leukemia cutis: an unusual manifestation of a rare disease.,1997,Case Reports; Journal Article,Plastic and reconstructive surgery
9267800,Rare disease genes--lessons and challenges.,1997,Journal Article,Genome research
9340340,[Diving ranula. A rare disease picture].,1997,Case Reports; English Abstract; Journal Article,HNO
9244836,[Tricuspid valve endocarditis. Demonstration of a rare disease exemplified with 3 case reports].,1997,Case Reports; Journal Article,"Medizinische Klinik (Munich, Germany : 1983)"
9173210,[Alström syndrome--a rare disease of diabetic association].,1997,Case Reports; English Abstract; Journal Article,"Medizinische Klinik (Munich, Germany : 1983)"
9125092,An aviator with an unusual gait: a rare disease teaches some everyday lessons.,1997,Case Reports; Journal Article,"Aviation, space, and environmental medicine"
11370045,[Lymphangioleiomyomatosis a rare disease in a young women].,1997,Case Reports; Journal Article,Duodecim; laaketieteellinen aikakauskirja
9443021,Intrauterine device--associated pelvic actinomycosis: a rare disease mimicking advanced ovarian cancer: a case report.,1997,Case Reports; Journal Article,European journal of gynaecological oncology
10225989,Typhoid fever and HIV infection: a rare disease association in industrialized countries.,1998,Case Reports; Journal Article,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases
9850623,[Hepatitis C-associated osteosclerosis. A rare disease with possible relevance for osteoporosis therapy].,1998,Journal Article,Ugeskrift for laeger
9831280,Late onset primary oxalosis type I: an uncommon presentation of a rare disease.,1998,Case Reports; Journal Article,European journal of gastroenterology & hepatology
9800513,[Mollaret's meningitis. A rare disease with a characteristic presentation].,1998,Case Reports; English Abstract; Journal Article,Ugeskrift for laeger
9612118,Ruptured cervical aneurysm of the carotid artery--case report of a rare disease.,1998,Case Reports; Journal Article,VASA. Zeitschrift fur Gefasskrankheiten
9577404,Fibrodysplasia (myositis) ossificans progressiva. Clinical lessons from a rare disease.,1998,Journal Article,Clinical orthopaedics and related research
9550843,Analysis of data associated with seemingly temporal clustering of a rare disease.,1998,Comparative Study; Journal Article; Review,Methods of information in medicine
9541350,Extensive malakoplakia of the nasopharynx: management of a rare disease.,1998,Case Reports; Journal Article,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons
9522674,[Rupture of the rotator cuff and skeletal muscle metastasis of primary lung carcinoma. A rare disease picture in differential diagnosis of shoulder pain].,1998,Case Reports; Journal Article,Der Unfallchirurg
11366986,Rare disease strikes AIDS patients in SE Asia.,1999,Newspaper Article; Journal Article,AIDS alert
10684239,[Alveolar proteinosis. Case report and review of a rare disease entity].,1999,Case Reports; Journal Article; Review,"Pneumologie (Stuttgart, Germany)"
10622082,Haemochromatosis and breast cancer: a rare cause of a rare disease?,1999,Case Reports; Comment; Letter,International journal of clinical practice
10422676,Malignant lymphoma of the cervix. An unusual presentation and a rare disease.,1999,Case Reports; Journal Article,European journal of gynaecological oncology
10398288,A comparison of some simple methods to identify geographical areas with excess incidence of a rare disease such as childhood leukaemia.,1999,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",Statistics in medicine
