ORPHAcode,nombre_enfermedad
225692,Metal transport or utilization disorder with epilepsy
225696,Energy metabolism disorder with epilepsy
225700,Mitochondrial disease with epilepsy
225703,Mitochondrial disease with peripheral neuropathy
225707,Metabolic neurotransmission anomaly with epilepsy
225710,Sterol metabolism disorder with epilepsy
225713,Other metabolic disease with epilepsy
226292,Permanent congenital hypothyroidism
226295,Primary congenital hypothyroidism
226298,Central congenital hypothyroidism
226307,Hypothyroidism due to deficient transcription factors involved in pituitary development or function
226313,Congenital hypothyroidism due to maternal intake of antithyroid drugs
226316,Genetic transient congenital hypothyroidism
227510,"Multiple system atrophy, cerebellar type"
227535,Hereditary breast cancer
227796,Fundus albipunctatus
227972,Toxic oil syndrome
227976,"Autosomal recessive optic atrophy, OPA7 type"
227982,Autoimmune polyendocrinopathy type 3
227990,Autoimmune polyendocrinopathy type 4
228000,Idiopathic CD4 lymphocytopenia
228003,Severe combined immunodeficiency due to CORO1A deficiency
228012,Progressive sensorineural hearing loss-hypertrophic cardiomyopathy syndrome
228113,Anal fistula
228116,Hughes-Stovin syndrome
228119,Fusariosis
228123,Coccidioidomycosis
228140,"Idiopathic ventricular fibrillation, non Brugada type"
228145,Multiple sclerosis variant
228157,Marburg acute multiple sclerosis
228165,Baló concentric sclerosis
228169,Autosomal dominant striatal neurodegeneration
228174,Autosomal dominant Charcot-Marie-Tooth disease type 2N
228179,Autosomal dominant Charcot-Marie-Tooth disease type 2M
228184,Heart-hand syndrome
228190,Patent ductus arteriosus-bicuspid aortic valve-hand anomalies syndrome
228215,Genetic dermis elastic tissue disorder
228218,Acquired dermis elastic tissue disorder
228221,Acquired dermis elastic tissue disorder with decreased elastic tissue
228224,Acquired dermis elastic tissue disorder with increased elastic tissue
228227,Late-onset focal dermal elastosis
228236,Linear focal elastosis
228240,Elastoderma
228243,Elastofibroma dorsi
228247,Acquired pseudoxanthoma elasticum
228254,Elastoma
228264,Papular elastorrhexis
228272,Primary anetoderma
228277,Familial anetoderma
228285,Acquired cutis laxa
228290,White fibrous papulosis of the neck
228293,Pseudoxanthoma elasticum-like papillary dermal elastolysis
228299,Mid-dermal elastolysis
228302,"Carnitine palmitoyl transferase II deficiency, myopathic form"
228305,"Carnitine palmitoyl transferase II deficiency, severe infantile form"
228308,"Carnitine palmitoyl transferase II deficiency, neonatal form"
228312,"Autoimmune hemolytic anemia, cold type"
228329,CLN1 disease
228337,CLN10 disease
228343,CLN4 disease
228346,CLN3 disease
228349,CLN2 disease
228354,CLN8 disease
228360,CLN5 disease
228363,CLN6 disease
228366,CLN7 disease
228371,Foodborne botulism
228374,Charcot-Marie-Tooth disease type 2B5
228379,Virus-associated trichodysplasia spinulosa
228384,5q14.3 microdeletion syndrome
228387,Spondylo-megaepiphyseal-metaphyseal dysplasia
228390,Frontonasal dysplasia-alopecia-genital anomalies syndrome
228396,Ptosis-upper ocular movement limitation-absence of lacrimal punctum syndrome
228399,8q12 microduplication syndrome
228402,2q23.1 microdeletion syndrome
228410,Cardiac anomalies-short stature-joint hypermobility-facial dysmorphism syndrome
228415,5q35 microduplication syndrome
228423,GATA2 deficiency spectrum
228426,Syndromic multisystem autoimmune disease due to Itch deficiency
229717,Isolated agammaglobulinemia
229720,Syndromic agammaglobulinemia
230800,Toxin-mediated infectious botulism
230839,Classical-like Ehlers-Danlos syndrome type 1
230851,Cardiac-valvular Ehlers-Danlos syndrome
230857,Ehlers-Danlos/osteogenesis imperfecta syndrome
231013,Congenital trigeminal anesthesia
231031,Erythema palmare hereditarium
231040,Familial generalized lentiginosis
231080,High-grade dysplasia in patients with Barrett esophagus
231108,Rhabdoid tumor predisposition syndrome
231111,Drug-induced lupus erythematosus
231117,Beckwith-Wiedemann syndrome due to imprinting defect of 11p15
231120,Beckwith-Wiedemann syndrome due to CDKN1C mutation
231127,Beckwith-Wiedemann syndrome due to 11p15 microdeletion
231130,Beckwith-Wiedemann syndrome due to 11p15 translocation/inversion
231137,Silver-Russell syndrome due to 7p11.2p13 microduplication
231140,Silver-Russell syndrome due to an imprinting defect of 11p15
231144,Silver-Russell syndrome due to 11p15 microduplication
231147,Silver-Russell syndrome due to maternal uniparental disomy of chromosome 11
231154,Combined immunodeficiency due to partial RAG1 deficiency
231160,Familial cerebral saccular aneurysm
231169,Usher syndrome type 1
231178,Usher syndrome type 2
231183,Usher syndrome type 3
231214,Beta-thalassemia major
231222,Beta-thalassemia intermedia
231226,Dominant beta-thalassemia
231230,Beta-thalassemia associated with another hemoglobin anomaly
231237,Delta-beta-thalassemia
231242,Hemoglobin C-beta-thalassemia syndrome
231249,Hemoglobin E-beta-thalassemia syndrome
231386,Beta-thalassemia with other manifestations
231393,Beta-thalassemia-X-linked thrombocytopenia syndrome
231401,Alpha-thalassemia-myelodysplastic syndrome
231413,Variant of Guillain-Barré syndrome
231416,Regional variant of Guillain-Barré syndrome
231419,Functional variant of Guillain-Barré syndrome
231426,Pharyngeal-cervical-brachial variant of Guillain-Barré syndrome
231445,Paraparetic variant of Guillain-Barré syndrome
231450,Acute pure sensory neuropathy
231457,Acute pandysautonomia
231466,Acute sensory ataxic neuropathy
231500,Hermansky-Pudlak syndrome due to BLOC-3 deficiency
231512,Hermansky-Pudlak syndrome due to BLOC-2 deficiency
231531,Hermansky-Pudlak syndrome due to BLOC-1 deficiency
231556,Late-onset localized junctional epidermolysis bullosa-intellectual disability syndrome
231568,Autosomal dominant generalized dystrophic epidermolysis bullosa
231573,Congenital erosive and vesicular dermatosis
231580,Primary unilateral adrenal hyperplasia
231625,Adrenocortical carcinoma with pure aldosterone hypersecretion
231632,Ectopic aldosterone-producing tumor
231637,Rare surgically correctable form of primary aldosteronism
231641,Rare non surgically correctable form of primary aldosteronism
231662,Isolated growth hormone deficiency type IA
231671,Isolated growth hormone deficiency type IB
231679,Isolated growth hormone deficiency type II
231692,Isolated growth hormone deficiency type III
231720,Non-acquired combined pituitary hormone deficiency-sensorineural hearing loss-spine abnormalities syndrome
231736,Microcornea-posterior megalolenticonus-persistent fetal vasculature-coloboma syndrome
231742,Epibulbar lipodermoid-preauricular appendage-polythelia syndrome
232035,Infectious embryofetopathy
232288,Syndrome with alpha-thalassemia as a major feature
233655,Rare genetic vascular disease
235832,Congenital vascular bone syndrome
235936,Familial hyperaldosteronism
238269,AApoAII amyloidosis
238305,Infundibulo-neurohypophysitis
238329,Severe X-linked mitochondrial encephalomyopathy
238446,15q11q13 microduplication syndrome
238455,Infantile dystonia-parkinsonism
238459,SLC35A1-CDG
238468,Hypohidrotic ectodermal dysplasia
238475,Familial hypercholanemia
238505,Combined immunodeficiency due to CD27 deficiency
238517,Hypotonia-cystinuria type 1 syndrome
238523,Atypical hypotonia-cystinuria syndrome
238536,Congenital secondary polycythemia
238547,Acquired secondary polycythemia
238557,Chuvash erythrocytosis
238569,Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome
238578,Familial clubfoot due to 17q23.1q23.2 microduplication
238583,Hyperphenylalaninemia due to tetrahydrobiopterin deficiency
238593,IgG4-related mesenteritis
238606,Primary orthostatic tremor
238613,Beckwith-Wiedemann syndrome due to NSD1 mutation
238621,Ileal pouch anal anastomosis related faecal incontinence
238624,Idiopathic intracranial hypertension
238637,Megacystis-megaureter syndrome
238642,"Primary megaureter, adult-onset form"
238646,"Congenital primary megaureter, obstructed form"
238650,"Congenital primary megaureter, refluxing form"
238654,"Congenital primary megaureter, nonrefluxing and unobstructed form"
238666,Isolated congenital hypogonadotropic hypogonadism
238670,Isolated thyrotropin-releasing hormone deficiency
238688,Neonatal iodine exposure
238696,Transient congenital hypothyroidism due to maternal factor
238699,Transient congenital hypothyroidism due to neonatal factor
238722,Familial congenital mirror movements
238744,Mammary-digital-nail syndrome
238750,4q21 microdeletion syndrome
238763,Glaucoma secondary to spherophakia/ectopia lentis and megalocornea
238769,1q44 microdeletion syndrome
240071,Classic progressive supranuclear palsy syndrome
240085,Progressive supranuclear palsy-predominant parkinsonism syndrome
240094,Progressive supranuclear palsy-pure akinesia with gait freezing syndrome
240103,Progressive supranuclear palsy-corticobasal syndrome
240112,Progressive supranuclear palsy-progressive non-fluent aphasia syndrome
240371,Syndromic obesity
240760,Nijmegen breakage syndrome-like disorder
243343,Dimethylglycine dehydrogenase deficiency
243367,Acute fatty liver of pregnancy
244242,HELLP syndrome
244275,De novo thrombotic microangiopathy after kidney transplantation
244283,Biliary atresia with splenic malformation syndrome
244305,Dominant hypophosphatemia with nephrolithiasis or osteoporosis
244310,RFT1-CDG
247165,Infantile mercury poisoning
247198,Progressive cerebello-cerebral atrophy
247203,Collecting duct carcinoma
247234,Sporadic adult-onset ataxia of unknown etiology
247239,Non-hereditary degenerative ataxia
247242,Acquired ataxia
247245,Superficial siderosis
247257,Inhalational anthrax
247262,Hyperphosphatasia-intellectual disability syndrome
247353,Generalized pustular psoriasis
247378,Autosomal recessive secondary polycythemia not associated with VHL gene
247511,Autosomal dominant secondary polycythemia
247522,Primary ciliary dyskinesia-retinitis pigmentosa syndrome
247525,Citrullinemia type I
247546,Acute neonatal citrullinemia type I
247573,Late-onset citrullinemia type I
247582,Citrin deficiency
247585,Citrullinemia type II
247598,Neonatal intrahepatic cholestasis due to citrin deficiency
247604,Juvenile primary lateral sclerosis
247623,Perinatal lethal hypophosphatasia
247638,Prenatal benign hypophosphatasia
247651,Infantile hypophosphatasia
247667,Childhood-onset hypophosphatasia
247676,Adult hypophosphatasia
247685,Odontohypophosphatasia
247691,Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations
247698,Multiple endocrine neoplasia type 2A
247709,Multiple endocrine neoplasia type 2B
247718,Inflammatory myopathy with abundant macrophages
247724,Idiopathic eosinophilic myositis
247762,Lipoblastoma
247765,X-linked cerebellar ataxia
247768,Müllerian aplasia and hyperandrogenism
247775,Mayer-Rokitansky-Küster-Hauser syndrome type 1
247790,FTH1-related iron overload
247794,Juvenile cataract-microcornea-renal glucosuria syndrome
247798,MUTYH-related attenuated familial adenomatous polyposis
247806,APC-related attenuated familial adenomatous polyposis
247815,Autosomal recessive ataxia due to PEX10 deficiency
247820,Ectodermal dysplasia-pili torti-cutaneous syndactyly syndrome
247827,Ectodermal dysplasia-hyperhidrosis-cutaneous syndactyly syndrome
247834,Occult macular dystrophy
247868,NLRP12-associated hereditary periodic fever syndrome
248095,Primary hypertrophic osteoarthropathy
248111,Juvenile Huntington disease
248293,Rare deficiency anemia
248296,Constitutional deficiency anemia
248302,Rare acquired deficiency anemia
248308,Rare hemorrhagic disorder
248315,Rare hemorrhagic disorder due to a coagulation factors defect
248326,Rare hemorrhagic disorder due to a platelet anomaly
248340,Isolated delta-storage pool disease
248347,Rare hemorrhagic disorder due to an acquired platelet anomaly
248358,Rare thrombotic disorder due to a coagulation factors defect
248361,Rare thrombotic disorder due to a constitutional coagulation factors defect
248365,Rare thrombotic disorder due to an acquired coagulation factors defect
248368,Rare thrombotic disorder due to a platelet anomaly
248401,Rare thrombotic disorder due to a constitutional platelet anomaly
248404,Rare thrombotic disorder due to an acquired platelet anomaly
248408,Familial hypodysfibrinogenemia
250165,Genetic polycythemia
250805,Serpinopathy
250808,Serpinopathy with toxic serpin polymerization
250811,Serpinopathy with loss of serpin function
250831,Logopenic progressive aphasia
250908,Rare neoplastic disease
250923,Isolated aniridia
250932,Autosomal dominant optic atrophy and peripheral neuropathy
250972,Polymicrogyria with optic nerve hypoplasia
250977,AICA-ribosiduria
250984,Autosomal recessive Stickler syndrome
250989,1q21.1 microdeletion syndrome
250994,1q21.1 microduplication syndrome
250999,1q41q42 microdeletion syndrome
251004,Paternal uniparental disomy of chromosome 1 syndrome
251009,Maternal uniparental disomy of chromosome 1 syndrome
251014,2q31.1 microdeletion syndrome
251019,2q32q33 microdeletion syndrome
251028,SATB2-associated syndrome due to a chromosomal rearrangement
251038,3q29 microduplication syndrome
251043,Ring chromosome 5 syndrome
251046,6p22 microdeletion syndrome
251056,6q25.2q25.3 microdeletion syndrome
251061,7q31 microdeletion syndrome
251066,8p11.2 deletion syndrome
251071,8p23.1 microdeletion syndrome
251076,8p23.1 duplication syndrome
251262,Familial osteochondritis dissecans
251274,Familial hyperaldosteronism type III
251279,Microphthalmia-retinitis pigmentosa-foveoschisis-optic disc drusen syndrome
251282,Autosomal dominant spastic ataxia type 1
251287,Benign concentric annular macular dystrophy
251290,Parietal foramina with clavicular hypoplasia
251295,Pigmented paravenous retinochoroidal atrophy
251304,Infantile onset panniculitis with uveitis and systemic granulomatosis
251307,Idiopathic recurrent pericarditis
251312,Overlapping connective tissue disease
251325,Drug-induced vasculitis
251328,Unclassified vasculitis
251332,Unexplained long-lasting fever/inflammatory syndrome
251347,Ataxia-telangiectasia-like disorder
251355,Sickle cell disease associated with another hemoglobin anomaly
251359,Sickle cell-beta-thalassemia disease syndrome
251365,Sickle cell-hemoglobin C disease syndrome
251370,Sickle cell-hemoglobin D disease syndrome
251375,Sickle cell-hemoglobin E disease syndrome
251380,Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome
251383,CK syndrome
251393,Localized junctional epidermolysis bullosa
251510,"46,XY partial gonadal dysgenesis"
251515,Distal arthrogryposis type 10
251523,Hyperzincemia and hypercalprotectinemia
251529,Toxic or drug-related embryofetopathy
251535,Maternal disease-related embryofetopathy
251558,Rare tumor of neuroepithelial tissue
251561,High-grade astrocytoma
251576,Gliosarcoma
251579,Giant cell glioblastoma
251582,Gliomatosis cerebri
251589,Anaplastic astrocytoma
251592,Low-grade astrocytoma
251595,Diffuse astrocytoma
251598,Protoplasmic astrocytoma
251601,Fibrillary astrocytoma
251604,Gemistocytic astrocytoma
251607,Pleomorphic xanthoastrocytoma
251612,Pilocytic astrocytoma
251615,Pilomyxoid astrocytoma
251618,Subependymal giant cell astrocytoma
251623,Pituicytoma
251627,Oligodendroglioma
251630,Anaplastic oligodendroglioma
251636,Ependymoma
251639,Subependymoma
251643,Myxopapillary ependymoma
251646,Anaplastic ependymoma
251651,Oligoastrocytic tumor
251656,Oligoastrocytoma
251663,Anaplastic oligoastrocytoma
251668,Glial tumor of neuroepithelial tissue with unknown origin
251671,Angiocentric glioma
251674,Chordoid glioma
251679,Astroblastoma
251852,Embryonal tumor of neuroepithelial tissue
251855,Anaplastic/large cell medulloblastoma
251858,Medulloblastoma with extensive nodularity
251863,Desmoplastic/nodular medulloblastoma
251867,Classic medulloblastoma
251870,Central nervous system embryonal tumor
251877,Ganglioneuroblastoma
251896,Choroid plexus tumor
251899,Choroid plexus carcinoma
251902,Atypical papilloma of choroid plexus
251905,Pineal tumor of neuroepithelial tissue
251909,Pineoblastoma
251912,Pineocytoma
251915,Papillary tumor of the pineal region
251919,Pineal parenchymal tumor of intermediate differentiation
251924,Neuronal tumor
251927,Extraventricular neurocytoma
251931,Cerebellar liponeurocytoma
251934,Mixed neuronal-glial tumor
251937,Gangliocytoma
251940,Desmoplastic infantile astrocytoma/ganglioglioma
251946,Dysembryoplastic neuroepithelial tumor
251949,Ganglioglioma
251957,Anaplastic ganglioglioma
251962,Papillary glioneuronal tumor
251975,Rosette-forming glioneuronal tumor
251992,Ganglioneuroma
251995,Primary germ cell tumor of central nervous system
252006,Yolk sac tumor of central nervous system
252015,Choriocarcinoma of the central nervous system
252018,Teratoma of the central nervous system
252021,Mixed germ cell tumor of central nervous system
252025,Tumor of meninges
252028,Primary melanocytic tumor of central nervous system
252031,Diffuse leptomeningeal melanocytosis
252046,Meningeal melanocytoma
252050,Primary melanoma of the central nervous system
252054,Hemangioblastoma
252057,Tumor of cranial and spinal nerves
252128,Malignant peripheral nerve sheath tumor with perineurial differentiation
252131,Benign peripheral nerve sheath tumor
252164,Benign schwannoma
252175,Vestibular schwannoma
252183,Neurofibroma
252190,Inherited nervous system cancer-predisposing syndrome
252202,Constitutional mismatch repair deficiency syndrome
252206,Melanoma and neural system tumor syndrome
252212,Malignant triton tumor
254334,Autosomal recessive intermediate Charcot-Marie-Tooth disease type B
254343,Autosomal recessive spastic ataxia-optic atrophy-dysarthria syndrome
254346,19p13.12 microdeletion syndrome
254351,Distal 7q11.23 microdeletion syndrome
254361,Plectin-related limb-girdle muscular dystrophy R17
254367,Rare lichen planus
254370,Rare cutaneous lichen planus
254373,Rare mucosal lichen planus
254379,Linear lichen planus
254395,Actinic lichen planus
254411,Annular atrophic lichen planus
254424,Annular lichen planus
254449,Atrophic lichen planus
254463,Lichen planus pigmentosus
254478,Lichen planus pemphigoides
254492,Frontal fibrosing alopecia
254504,Inhalational botulism
254509,Iatrogenic botulism
254516,Temple syndrome
254519,Kagami-Ogata syndrome
254525,Temple syndrome due to paternal 14q32.2 microdeletion
254528,Kagami-Ogata syndrome due to maternal 14q32.2 microdeletion
254531,Temple syndrome due to paternal 14q32.2 hypomethylation
254534,Kagami-Ogata syndrome due to maternal 14q32.2 hypermethylation
254685,Gestational trophoblastic disease
254688,Complete hydatidiform mole
254693,Partial hydatidiform mole
254698,Epithelioid trophoblastic tumor
254704,Genetic hyperferritinemia without iron overload
254746,Pyruvate metabolism disorder
254749,Tricarboxylic acid cycle disorder
254758,Mitochondrial oxidative phosphorylation disorder due to mitochondrial DNA anomalies
254767,Mitochondrial oxidative phosphorylation disorder due to a large-scale single deletion of mitochondrial DNA
254776,Mitochondrial oxidative phosphorylation disorder due to a point mutation of mitochondrial DNA
254788,Mitochondrial DNA-related mitochondrial myopathy
254803,"Mitochondrial DNA depletion syndrome, encephalomyopathic form"
254807,Multiple mitochondrial DNA deletion syndrome
254818,Ataxia neuropathy spectrum
254822,Mitochondrial oxidative phosphorylation disorder with no known mechanism
254827,Mitochondrial membrane transport disorder
254830,Mitochondrial substrate carrier disorder
254834,Mitochondrial protein import disorder
254837,Unspecified mitochondrial disorder
254843,Exercise intolerance with lactic acidosis
254846,Isolated oxidative phosphorylation complex disorder
254851,Mitochondrial DNA-related dystonia
254854,Pure mitochondrial myopathy
254857,Lethal infantile mitochondrial myopathy
254864,Mitochondrial myopathy with reversible cytochrome C oxidase deficiency
254871,"Mitochondrial DNA depletion syndrome, hepatocerebral form"
254875,"Mitochondrial DNA depletion syndrome, myopathic form"
254881,Spinocerebellar ataxia with epilepsy
254886,Autosomal recessive progressive external ophthalmoplegia
254892,Autosomal dominant progressive external ophthalmoplegia
254898,Deafness-encephaloneuropathy-obesity-valvulopathy syndrome
254902,Renal tubulopathy-encephalopathy-liver failure syndrome
254905,Isolated cytochrome C oxidase deficiency
254913,Isolated ATP synthase deficiency
254920,Combined oxidative phosphorylation defect type 2
254925,Combined oxidative phosphorylation defect type 4
254930,Combined oxidative phosphorylation defect type 7
255132,Adult-onset autosomal recessive sideroblastic anemia
255138,Pyruvate dehydrogenase E1-beta deficiency
255182,Pyruvate dehydrogenase E3-binding protein deficiency
255210,Mitochondrial DNA-associated Leigh syndrome
255229,Navajo neurohepatopathy
255235,"Mitochondrial DNA depletion syndrome, encephalomyopathic form with renal tubulopathy"
260305,Autosomal recessive sideroblastic anemia
261102,Distal 7q11.23 microduplication syndrome
261112,Monosomy 9p syndrome
261120,14q11.2 microdeletion syndrome
261144,FOXG1 syndrome due to 14q12 microdeletion
261183,15q11.2 microdeletion syndrome
261190,Cleft palate-congenital heart defect-intellectual disability syndrome due to 15q14 microdeletion
261197,Proximal 16p11.2 microdeletion syndrome
261204,16p11.2p12.2 microduplication syndrome
261211,16p11.2p12.2 microdeletion syndrome
261222,Distal 16p11.2 microdeletion syndrome
261229,14q11.2 microduplication syndrome
261236,16p13.11 microdeletion syndrome
261243,16p13.11 microduplication syndrome
261250,16q24.3 microdeletion syndrome
261257,Distal 17p13.3 microdeletion syndrome
261265,17q12 microdeletion syndrome
261272,17q12 microduplication syndrome
261279,17q23.1q23.2 microdeletion syndrome
261290,Trisomy 17p syndrome
261295,20p12.3 microdeletion syndrome
261304,Paternal 20q13.2q13.3 microdeletion syndrome
261311,20q13.33 microdeletion syndrome
261318,Trisomy 20p syndrome
261323,21q22.11q22.12 microdeletion syndrome
261330,Distal 22q11.2 microdeletion syndrome
261337,Distal 22q11.2 microduplication syndrome
261344,Trisomy 1q syndrome
261349,2p15p16.1 microdeletion syndrome
261476,Xp21 deletion syndrome
261483,Xq27.3q28 duplication syndrome
261494,Kleefstra syndrome
261501,Atypical Norrie disease due to Xp11.3 microdeletion
261519,Maternal uniparental disomy of chromosome X syndrome
261524,Paternal uniparental disomy of chromosome X syndrome
261529,Ring chromosome Y syndrome
261534,"49,XXXYY syndrome"
261537,Mowat-Wilson syndrome due to monosomy 2q22
261552,Mowat-Wilson syndrome due to a ZEB2 point mutation
261584,Familial adenomatous polyposis due to 5q22.2 microdeletion
261600,Alagille syndrome due to 20p12 microdeletion
261619,Alagille syndrome due to a JAG1 point mutation
261629,Alagille syndrome due to a NOTCH2 point mutation
261638,Okihiro syndrome due to 20q13 microdeletion
261647,Okihiro syndrome due to a point mutation
261652,Kleefstra syndrome due to a point mutation
261766,Partial deletion of chromosome 1 syndrome
261771,Partial deletion of chromosome 2 syndrome
261776,Partial deletion of chromosome 3 syndrome
261781,Partial deletion of chromosome 4 syndrome
261786,Partial deletion of chromosome 5 syndrome
261791,Partial deletion of chromosome 6 syndrome
261796,Partial deletion of chromosome 7 syndrome
261801,Partial deletion of chromosome 8 syndrome
261806,Partial deletion of chromosome 9 syndrome
261811,Partial deletion of chromosome 10 syndrome
261816,Partial deletion of chromosome 11 syndrome
261821,Partial deletion of the long arm of chromosome 12 syndrome
261826,Partial deletion of chromosome 16 syndrome
261831,Partial deletion of chromosome 17 syndrome
261836,Partial deletion of chromosome 18 syndrome
261841,Partial deletion of chromosome 19 syndrome
261846,Partial deletion of chromosome 20 syndrome
261857,Partial deletion of the short arm of chromosome 1 syndrome
261866,Partial deletion of the short arm of chromosome 2 syndrome
261875,Partial deletion of the short arm of chromosome 3 syndrome
261884,Partial deletion of the short arm of chromosome 4 syndrome
261893,Partial deletion of the short arm of chromosome 5 syndrome
261902,Partial deletion of the short arm of chromosome 6 syndrome
261911,Partial deletion of the short arm of chromosome 7 syndrome
261920,Partial deletion of the short arm of chromosome 8 syndrome
261929,Partial deletion of the short arm of chromosome 9 syndrome
261938,Partial deletion of the short arm of chromosome 10 syndrome
261947,Partial deletion of the short arm of chromosome 11 syndrome
261956,Partial deletion of the short arm of chromosome 16 syndrome
261965,Partial deletion of the short arm of chromosome 17 syndrome
261974,Partial deletion of the short arm of chromosome 18 syndrome
261983,Partial deletion of the short arm of chromosome 19 syndrome
261992,Partial deletion of the short arm of chromosome 20 syndrome
262001,Partial deletion of the long arm of chromosome 1 syndrome
262010,Partial deletion of the long arm of chromosome 2 syndrome
262019,Partial deletion of the long arm of chromosome 3 syndrome
262029,Partial deletion of the long arm of chromosome 4 syndrome
262038,Partial deletion of the long arm of chromosome 5 syndrome
262047,Partial deletion of the long arm of chromosome 6 syndrome
262056,Partial deletion of the long arm of chromosome 7 syndrome
262065,Partial deletion of the long arm of chromosome 8 syndrome
262074,Partial deletion of the long arm of chromosome 9 syndrome
262083,Partial deletion of the long arm of chromosome 10 syndrome
262092,Partial deletion of the long arm of chromosome 11 syndrome
262101,Partial deletion of the long arm of chromosome 13 syndrome
262110,Partial deletion of the long arm of chromosome 14 syndrome
262119,Partial deletion of the long arm of chromosome 15 syndrome
262128,Partial deletion of the long arm of chromosome 16 syndrome
262137,Partial deletion of the long arm of chromosome 17 syndrome
262146,Partial deletion of the long arm of chromosome 18 syndrome
262155,Partial deletion of the long arm of chromosome 19 syndrome
262164,Partial deletion of the long arm of chromosome 20 syndrome
262173,Partial deletion of the long arm of chromosome 21 syndrome
262182,Partial deletion of the long arm of chromosome 22 syndrome
262191,Partial duplication of chromosome 1 syndrome
262196,Partial duplication of chromosome 2 syndrome
262201,Partial duplication of chromosome 3 syndrome
262206,Partial duplication of chromosome 4 syndrome
262211,Partial duplication/triplication of chromosome 5 syndrome
262628,Partial duplication of chromosome 6 syndrome
262633,Partial duplication of chromosome 7 syndrome
262638,Partial duplication of chromosome 8 syndrome
262643,Partial duplication/triplication of chromosome 9 syndrome
262648,Partial duplication of chromosome 10 syndrome
262653,Partial duplication of chromosome 11 syndrome
262658,Partial duplication/triplication of the short arm of chromosome 12 syndrome
262672,Partial duplication of chromosome 16 syndrome
262677,Partial duplication of chromosome 17 syndrome
262682,Partial duplication/triplication of chromosome 18 syndrome
262687,Partial duplication of chromosome 19 syndrome
262692,Partial duplication of chromosome 20 syndrome
262698,Partial duplication of the short arm of chromosome 2 syndrome
262707,Partial duplication of the short arm of chromosome 3 syndrome
262716,Partial duplication of the short arm of chromosome 4 syndrome
262725,Partial duplication/triplication of the short arm of chromosome 5 syndrome
262740,Partial duplication of the short arm of chromosome 6 syndrome
262749,Partial duplication of the short arm of chromosome 7 syndrome
262758,Partial duplication of the short arm of chromosome 8 syndrome
262767,Partial duplication/triplication of the short arm of chromosome 9 syndrome
262776,Partial duplication of the short arm of chromosome 10 syndrome
262785,Partial duplication of the short arm of chromosome 11 syndrome
262794,Partial duplication of the short arm of chromosome 16 syndrome
262803,Partial duplication of the short arm of chromosome 17 syndrome
262812,Partial duplication/triplication of the short arm of chromosome 18 syndrome
262833,Partial duplication of the long arm of chromosome 1 syndrome
262842,Partial duplication of the long arm of chromosome 2 syndrome
262851,Partial duplication of the long arm of chromosome 3 syndrome
262860,Partial duplication of the long arm of chromosome 4 syndrome
262869,Partial duplication of the long arm of chromosome 5 syndrome
262878,Partial duplication of the long arm of chromosome 6 syndrome
262887,Partial duplication of the long arm of chromosome 7 syndrome
262896,Partial duplication of the long arm of chromosome 8 syndrome
262905,Partial duplication of the long arm of chromosome 9 syndrome
262914,Partial duplication of the long arm of chromosome 10 syndrome
262923,Partial duplication of the long arm of chromosome 11 syndrome
262932,Partial duplication of the long arm of chromosome 13 syndrome
262941,Partial duplication of the long arm of chromosome 14 syndrome
262950,Partial duplication of the long arm of chromosome 15 syndrome
262959,Partial duplication of the long arm of chromosome 16 syndrome
262968,Partial duplication of the long arm of chromosome 17 syndrome
262977,Partial duplication of the long arm of chromosome 18 syndrome
262986,Partial duplication of the long arm of chromosome 19 syndrome
262995,Partial duplication of the long arm of chromosome 20 syndrome
263004,Partial duplication of the long arm of chromosome 22 syndrome
263297,Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency
263310,Thymoma type A
263317,Thymoma type B
263324,Thymoma type AB
263331,Well-differentiated thymic neuroendocrine carcinoma
263335,Moderately-differentiated thymic neuroendocrine carcinoma
263339,Poorly differentiated thymic neuroendocrine carcinoma
263347,MRCS syndrome
263352,Postcardiotomy right ventricular failure
263410,Infantile spasms-psychomotor retardation-progressive brain atrophy-basal ganglia disease syndrome
263413,Angiosarcoma
263425,Nevus of Ota
263432,Nevus of Ito
263435,Congenital smooth muscle hamartoma
263440,Neuroacanthocytosis
263455,Congenital hyperinsulinism due to HNF4A deficiency
263458,Hyperinsulinism due to INSR deficiency
263463,CHST3-related skeletal dysplasia
263479,Fuchs heterochromic iridocyclitis
263482,"Spondyloepimetaphyseal dysplasia, Maroteaux type"
263487,COG5-CDG
263494,DPM3-CDG
263501,COG4-CDG
263508,COG1-CDG
263516,Progressive myoclonic epilepsy type 3
263524,Acute necrotizing encephalopathy of childhood
263534,Acral peeling skin syndrome
263543,Generalized peeling skin syndrome
263548,Peeling skin syndrome type A
263553,Peeling skin syndrome type B
263662,Familial multiple meningioma
263665,NK-cell enteropathy
263708,Complex chromosomal rearrangement syndrome
263714,X chromosome number anomaly syndrome
263717,X chromosome number anomaly with female phenotype syndrome
263720,X chromosome number anomaly with male phenotype syndrome
263723,Polysomy of X chromosome syndrome
263726,Partial deletion of chromosome X syndrome
263731,Partial deletion of the short arm of the chromosome X syndrome
263746,Y chromosome number anomaly syndrome
