ORPHAcode,Preferred term,Typology,PrevalenceType,ValMoy,PrevalenceClass,PrevalenceQualification,PrevalenceGeographic,PrevalenceValidationStatus,Source
166090,Von Willebrand disease type 2M,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.8,1-9 / 1 000 000,Value and class,Europe,Not yet validated,ORPHANET
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.17,1-9 / 1 000 000,Value and class,Portugal,Validated,14685153[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.83,1-9 / 1 000 000,Value and class,Italy,Validated,11953730[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,2.25,1-9 / 100 000,Value and class,Netherlands,Validated,10480370[PMID]_10482961[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.37,1-9 / 1 000 000,Value and class,Czech Republic,Validated,20490927[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,11.5,1-5 / 10 000,Value and class,Austria,Validated,22133539[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,2.5,1-9 / 100 000,Value and class,United States,Validated,9738873[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.68,1-9 / 1 000 000,Value and class,Australia,Validated,9918480[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,2.0,1-9 / 100 000,Value and class,China,Validated,3106710[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,0.72,1-9 / 1 000 000,Value and class,Sweden,Validated,25274184[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,2.3,1-9 / 100 000,Value and class,Israel,Validated,33239050[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Prevalence at birth,4.8,1-9 / 100 000,Value and class,Specific population,Validated,33239050[PMID]
365,Glycogen storage disease due to acid maltase deficiency,Disease,Point prevalence,3.0,1-9 / 100 000,Value and class,Europe,Validated,European Medicines Agency 2018[INST]
166087,Von Willebrand disease type 2B,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Prevalence at birth,1.0,1-9 / 100 000,Value and class,United States,Validated,9412782[PMID]
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
166093,Von Willebrand disease type 2N,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.1865,1-9 / 1 000 000,Value and class,Worldwide,Validated,30306084[PMID]_33780098[PMID]_ORPHANET
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.037,<1 / 1 000 000,Value and class,Austria,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.24,<1 / 1 000 000,Value and class,Finland,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.016,<1 / 1 000 000,Value and class,France,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Prevalence at birth,0.044,<1 / 1 000 000,Value and class,Greece,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.16,<1 / 1 000 000,Value and class,Israel,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.055,<1 / 1 000 000,Value and class,Italy,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.037,<1 / 1 000 000,Value and class,Netherlands,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.25,1-9 / 1 000 000,Value and class,Norway,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.022,<1 / 1 000 000,Value and class,Portugal,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.011,<1 / 1 000 000,Value and class,Spain,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.312,1-9 / 1 000 000,Value and class,Sweden,Validated,PMID: 6609712
166096,Von Willebrand disease type 3,Clinical subtype,Point prevalence,0.027,<1 / 1 000 000,Value and class,United Kingdom,Validated,PMID: 6609712
367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disease,Prevalence at birth,0.1,1-9 / 1 000 000,Value and class,Worldwide,Not yet validated,23285490[PMID]
367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Cases/families,100.0,,Case(s),Worldwide,Validated,18421897[PMID]
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_18421897[PMID]
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,Cases/families,3.0,,Case(s),Worldwide,Validated,18771761[PMID]_28499982[PMID]
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_18771761[PMID]_28499982[PMID]
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Prevalence at birth,2.3,1-9 / 100 000,Value and class,Israel,Validated,33239050[PMID]
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Prevalence at birth,4.8,1-9 / 100 000,Value and class,Specific population,Validated,33239050[PMID]
447,Paroxysmal nocturnal hemoglobinuria,Disease,Annual incidence,0.35,1-9 / 1 000 000,Value and class,United Kingdom,Validated,34060690[PMID]
447,Paroxysmal nocturnal hemoglobinuria,Disease,Point prevalence,3.81,1-9 / 100 000,Value and class,United Kingdom,Validated,34060690[PMID]
447,Paroxysmal nocturnal hemoglobinuria,Disease,Point prevalence,2.0,1-9 / 100 000,Value and class,Europe,Validated,European Medicines Agency 2016[INST]
166108,Birk-Barel syndrome,Disease,Cases/families,1.0,,Family(ies),Worldwide,Validated,18678320[PMID]
166108,Birk-Barel syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_18678320[PMID]
166113,Bazex syndrome,Disease,Cases/families,145.0,,Case(s),Worldwide,Validated,18775590[PMID]
166113,Bazex syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_18775590[PMID]
535,Rare cutaneous lupus erythematosus,Clinical group,Point prevalence,50.0,1-5 / 10 000,Value and class,Europe,Validated,European Medicines Agency 2007[INST]
535,Rare cutaneous lupus erythematosus,Clinical group,Annual incidence,4.3,1-9 / 100 000,Value and class,United States,Validated,19289752[PMID]
535,Rare cutaneous lupus erythematosus,Clinical group,Point prevalence,73.0,6-9 / 10 000,Value and class,United States,Validated,19289752[PMID]
535,Rare cutaneous lupus erythematosus,Clinical group,Annual incidence,4.0,1-9 / 100 000,Value and class,Sweden,Validated,21574972[PMID]
166119,Isolated osteopoikilosis,Disease,Point prevalence,2.0,1-9 / 100 000,Value and class,Worldwide,Validated,31129707[PMID]
166119,Isolated osteopoikilosis,Disease,Annual incidence,2.0,1-9 / 100 000,Value and class,Worldwide,Validated,31129707[PMID]
487,Krabbe disease,Disease,Prevalence at birth,0.327,1-9 / 1 000 000,Value and class,United States,Validated,22991292[PMID]_26795590[PMID]
487,Krabbe disease,Disease,Point prevalence,1.0,1-9 / 100 000,Value and class,Europe,Validated,[EXPERT]
487,Krabbe disease,Disease,Prevalence at birth,0.7,1-9 / 1 000 000,Value and class,Worldwide,Validated,[EXPERT]
487,Krabbe disease,Disease,Prevalence at birth,1.0,1-9 / 100 000,Value and class,Europe,Not yet validated,20301416[PMID]
487,Krabbe disease,Disease,Prevalence at birth,0.7,1-9 / 1 000 000,Value and class,France,Validated,[EXPERT]
487,Krabbe disease,Disease,Prevalence at birth,0.71,1-9 / 1 000 000,Value and class,Australia,Validated,9918480[PMID]
487,Krabbe disease,Disease,Prevalence at birth,1.35,1-9 / 100 000,Value and class,Netherlands,Validated,10480370[PMID]
487,Krabbe disease,Disease,Prevalence at birth,1.21,1-9 / 100 000,Value and class,Portugal,Validated,14685153[PMID]
487,Krabbe disease,Disease,Prevalence at birth,0.6,1-9 / 1 000 000,Value and class,Germany,Validated,9286459[PMID]
487,Krabbe disease,Disease,Prevalence at birth,1.0,1-9 / 100 000,Value and class,Turkey,Validated,20490927[PMID]
487,Krabbe disease,Disease,Prevalence at birth,0.4,1-9 / 1 000 000,Value and class,Czech Republic,Validated,20490927[PMID]
487,Krabbe disease,Disease,Prevalence at birth,1.9,1-9 / 100 000,Value and class,Sweden,Validated,5409293[PMID]
166260,Dentinogenesis imperfecta type 2,Clinical subtype,Point prevalence,14.6,1-5 / 10 000,Value and class,Europe,Validated,[EXPERT]
166265,Dentinogenesis imperfecta type 3,Clinical subtype,Point prevalence,0.0,Unknown,Class only,Worldwide,Not yet validated,ORPHANET
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.16,1-9 / 1 000 000,Value and class,Europe,Not yet validated,ORPHANET
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.23,1-9 / 1 000 000,Value and class,Germany,Validated,16435194[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.15,1-9 / 1 000 000,Value and class,Netherlands,Validated,10480370[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.42,1-9 / 1 000 000,Value and class,Portugal,Validated,14685153[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.23,1-9 / 1 000 000,Value and class,Sweden,Validated,18681890[PMID]_25274184[PMID]
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,3.3,1-9 / 100 000,Value and class,Sweden,Validated,18681890[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.07,<1 / 1 000 000,Value and class,Norway,Validated,18681890[PMID]
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,2.2,1-9 / 100 000,Value and class,Norway,Validated,18681890[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.05,<1 / 1 000 000,Value and class,Denmark,Validated,18681890[PMID]
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,3.7,1-9 / 100 000,Value and class,Denmark,Validated,18681890[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.05,<1 / 1 000 000,Value and class,Czech Republic,Validated,20490927[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.37,1-9 / 1 000 000,Value and class,Australia,Validated,16600651[PMID]_14608657[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.1,1-9 / 1 000 000,Value and class,Canada,Validated,10617747[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.14,1-9 / 1 000 000,Value and class,"Taiwan, Province of China",Validated,19396827[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.27,1-9 / 1 000 000,Value and class,Estonia,Validated,22480138[PMID]
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,0.059,<1 / 1 000 000,Value and class,Colombia,Validated,22550061[PMID]
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,0.16,1-9 / 1 000 000,Value and class,Europe,Validated,European Medicines Agency 2001[INST]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,2.3,1-9 / 100 000,Value and class,Turkey,Validated,16435194[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.0132,<1 / 1 000 000,Value and class,Poland,Validated,25472774[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,7.85,1-9 / 100 000,Value and class,Saudi Arabia,Validated,20622343[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.28,1-9 / 1 000 000,Value and class,Brazil,Validated,PMID: 31926052
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.03,<1 / 1 000 000,Value and class,Japan,Validated,28595941[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.11,1-9 / 1 000 000,Value and class,Switzerland,Validated,28595941[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.3,1-9 / 1 000 000,Value and class,Tunisia,Validated,20209839[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.019,<1 / 1 000 000,Value and class,"Korea, Republic of",Validated,25364648[PMID]
583,Mucopolysaccharidosis type 6,Disease,Prevalence at birth,0.04,<1 / 1 000 000,Value and class,United States,Validated,34051828[PMID]
583,Mucopolysaccharidosis type 6,Disease,Point prevalence,0.011,<1 / 1 000 000,Value and class,United States,Validated,34051828[PMID]
166272,Odontochondrodysplasia,Malformation syndrome,Cases/families,11.0,,Case(s),Worldwide,Validated,18241073[PMID]
166272,Odontochondrodysplasia,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_18241073[PMID]
576,Mucolipidosis type II,Disease,Prevalence at birth,0.34,1-9 / 1 000 000,Value and class,Europe,Validated,10480370[PMID]_14685153[PMID]_ 25274184[PMID]_ORPHANET
576,Mucolipidosis type II,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Europe,Validated,ORPHANET
576,Mucolipidosis type II,Disease,Prevalence at birth,0.81,1-9 / 1 000 000,Value and class,Portugal,Validated,14685153[PMID]
576,Mucolipidosis type II,Disease,Prevalence at birth,0.16,1-9 / 1 000 000,Value and class,Netherlands,Validated,10480370[PMID]
576,Mucolipidosis type II,Disease,Prevalence at birth,16.2,1-5 / 10 000,Value and class,Specific population,Validated,18190596[PMID]_1937486[PMID]
576,Mucolipidosis type II,Disease,Prevalence at birth,0.05,<1 / 1 000 000,Value and class,Sweden,Validated,25274184[PMID]
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Cases/families,3.0,,Case(s),Worldwide,Validated,10544232[PMID]
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_10544232[PMID]
812,Sialidosis type 1,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Europe,Validated,ORPHANET
812,Sialidosis type 1,Disease,Prevalence at birth,0.0,<1 / 1 000 000,Class only,Europe,Validated,ORPHANET
166282,Familial sick sinus syndrome,Disease,Cases/families,11.0,,Case(s),Worldwide,Validated,ORPHANET
166282,Familial sick sinus syndrome,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET
578,Mucolipidosis type IV,Disease,Point prevalence,0.0,Unknown,Class only,Worldwide,Validated,ORPHANET
578,Mucolipidosis type IV,Disease,Prevalence at birth,0.1,1-9 / 1 000 000,Value and class,Sweden,Validated,25274184[PMID]
578,Mucolipidosis type IV,Disease,Prevalence at birth,2.5,1-9 / 100 000,Value and class,Specific population,Validated,20159435[PMID]_16287144[PMID]_16645217[PMID]
166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Cases/families,45.0,,Case(s),Worldwide,Validated,21393947[PMID]
166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_21393947[PMID]
577,Mucolipidosis type III,Disease,Annual incidence,0.985,1-9 / 1 000 000,Value and class,Europe,Validated,10480370[PMID]_ 14685153[PMID]_ ORPHANET
577,Mucolipidosis type III,Disease,Annual incidence,0.08,<1 / 1 000 000,Value and class,Netherlands,Validated,10480370[PMID]
577,Mucolipidosis type III,Disease,Annual incidence,1.68,1-9 / 1 000 000,Value and class,Portugal,Validated,14685153[PMID]
577,Mucolipidosis type III,Disease,Point prevalence,29.55,1-5 / 10 000,Value and class,Europe,Validated,ORPHANET
577,Mucolipidosis type III,Disease,Point prevalence,2.4,1-9 / 100 000,Value and class,Netherlands,Validated,ORPHANET
577,Mucolipidosis type III,Disease,Point prevalence,50.4,1-5 / 10 000,Value and class,Portugal,Validated,ORPHANET
166291,Dirofilariasis,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Europe,Not yet validated,ORPHANET
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Disease,Cases/families,36.0,,Case(s),Worldwide,Validated,20822975[PMID]
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_20822975[PMID]
166305,Benign infantile seizures associated with mild gastroenteritis,Disease,Cases/families,100.0,,Case(s),Worldwide,Validated,24125788[PMID]
166305,Benign infantile seizures associated with mild gastroenteritis,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Worldwide,Validated,ORPHANET_24125788[PMID]
2912,Poliomyelitis,Disease,Point prevalence,0.0,<1 / 1 000 000,Class only,Europe,Not yet validated,ORPHANET
2912,Poliomyelitis,Disease,Annual incidence,0.0,<1 / 1 000 000,Class only,Europe,Validated,European Centre for Disease prevention and Control 2011[INST]
796,Sandhoff disease,Disease,Prevalence at birth,1.49,1-9 / 100 000,Value and class,Portugal,Validated,14685153[PMID]
796,Sandhoff disease,Disease,Prevalence at birth,0.34,1-9 / 1 000 000,Value and class,Netherlands,Validated,10480370[PMID]
796,Sandhoff disease,Disease,Prevalence at birth,0.19,1-9 / 1 000 000,Value and class,Czech Republic,Validated,20490927[PMID]
796,Sandhoff disease,Disease,Prevalence at birth,0.26,1-9 / 1 000 000,Value and class,Australia,Validated,9918480[PMID]
796,Sandhoff disease,Disease,Prevalence at birth,0.95,1-9 / 1 000 000,Value and class,Turkey,Validated,15275696[PMID]
796,Sandhoff disease,Disease,Prevalence at birth,0.3,1-9 / 1 000 000,Value and class,United States,Validated,2955697[PMID]
796,Sandhoff disease,Disease,Prevalence at birth,0.67,1-9 / 1 000 000,Value and class,Europe,Validated,[EXPERT]
796,Sandhoff disease,Disease,Point prevalence,0.0,1-9 / 1 000 000,Class only,Europe,Not yet validated,ORPHANET
796,Sandhoff disease,Disease,Prevalence at birth,0.38,1-9 / 1 000 000,Value and class,Sweden,Validated,25274184[PMID]
801,Scleroderma,Clinical group,Annual incidence,1.41,1-9 / 100 000,Value and class,Worldwide,Validated,[EXPERT]
801,Scleroderma,Clinical group,Point prevalence,42.0,1-5 / 10 000,Value and class,Worldwide,Validated,[EXPERT]
801,Scleroderma,Clinical group,Annual incidence,1.5,1-9 / 100 000,Value and class,Australia,Validated,11456035[PMID]
801,Scleroderma,Clinical group,Point prevalence,23.0,1-5 / 10 000,Value and class,Australia,Validated,11456035[PMID]
801,Scleroderma,Clinical group,Point prevalence,469.0,>1 / 1000,Value and class,Specific population,Validated,8702445[PMID]
461,Recessive X-linked ichthyosis,Disease,Annual incidence,15.0,1-5 / 10 000,Value and class,Europe,Validated,ORPHANET
461,Recessive X-linked ichthyosis,Disease,Point prevalence,16.6,1-5 / 10 000,Value and class,Europe,Validated,ORPHANET
461,Recessive X-linked ichthyosis,Disease,Annual incidence,9.9,1-9 / 100 000,Value and class,Italy,Not yet validated,12920363[PMID]_ORPHANET
