class_hchId,ORPHAcode,preferredTerm
146,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
146,394529,"Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type"
146,394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type"
146,26791,Multiple acyl-CoA dehydrogenase deficiency
146,26793,Very long chain acyl-CoA dehydrogenase deficiency
146,99901,Acyl-CoA dehydrogenase 9 deficiency
146,217591,Fatty acid oxidation and ketogenesis disorder with hypertrophic cardiomyopathy
146,95,Friedreich ataxia
146,589824,Childhood-onset Steinert myotonic dystrophy
146,589827,Juvenile-onset Steinert myotonic dystrophy
146,589830,Adult-onset Steinert myotonic dystrophy
146,589833,Late-onset Steinert myotonic dystrophy
146,589821,Congenital-onset Steinert myotonic dystrophy
146,273,Steinert myotonic dystrophy
146,96076,Beckwith-Wiedemann syndrome due to 11p15 microduplication
146,96193,Beckwith-Wiedemann syndrome due to paternal uniparental disomy of chromosome 11
146,231117,Beckwith-Wiedemann syndrome due to imprinting defect of 11p15
146,231120,Beckwith-Wiedemann syndrome due to CDKN1C mutation
146,231127,Beckwith-Wiedemann syndrome due to 11p15 microdeletion
146,231130,Beckwith-Wiedemann syndrome due to 11p15 translocation/inversion
146,238613,Beckwith-Wiedemann syndrome due to NSD1 mutation
146,116,Beckwith-Wiedemann syndrome
146,91130,Cardiomyopathy-hypotonia-lactic acidosis syndrome
146,228012,Progressive sensorineural hearing loss-hypertrophic cardiomyopathy syndrome
146,399058,Alpha-B crystallin-related late-onset myopathy
146,98909,Desminopathy
146,3071,Costello syndrome
146,2701,Noonan syndrome-like disorder with loose anagen hair
146,648,Noonan syndrome
146,500,Noonan syndrome with multiple lentigines
146,363972,Noonan syndrome-like disorder with juvenile myelomonocytic leukemia
146,1340,Cardiofaciocutaneous syndrome
146,217595,Syndrome associated with hypertrophic cardiomyopathy
146,99739,Rare familial disorder with hypertrophic cardiomyopathy
146,1926,Diabetic embryopathy
146,314701,Primary systemic amyloidosis
146,314709,Primary localized amyloidosis
146,85443,AL amyloidosis
146,217598,Non-familial hypertrophic cardiomyopathy
146,217569,Rare hypertrophic cardiomyopathy
146,2119,HEC syndrome
146,206583,Adult polyglucosan body disease
146,308621,"Glycogen storage disease due to glycogen branching enzyme deficiency, progressive hepatic form"
146,308638,"Glycogen storage disease due to glycogen branching enzyme deficiency, non progressive hepatic form"
146,308655,"Glycogen storage disease due to glycogen branching enzyme deficiency, fatal perinatal neuromuscular form"
146,308670,"Glycogen storage disease due to glycogen branching enzyme deficiency, congenital neuromuscular form"
146,308684,"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood combined hepatic and myopathic form"
146,308698,"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood neuromuscular form"
146,308712,"Glycogen storage disease due to glycogen branching enzyme deficiency, adult neuromuscular form"
146,367,Glycogen storage disease due to glycogen branching enzyme deficiency
146,154,Familial isolated dilated cardiomyopathy
146,98895,Becker muscular dystrophy
146,98896,Duchenne muscular dystrophy
146,206546,Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers
146,262,Duchenne and Becker muscular dystrophy
146,98853,Autosomal dominant Emery-Dreifuss muscular dystrophy
146,98855,Autosomal recessive Emery-Dreifuss muscular dystrophy
146,98863,X-linked Emery-Dreifuss muscular dystrophy
146,261,Emery-Dreifuss muscular dystrophy
146,62,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3
146,119,Beta-sarcoglycan-related limb-girdle muscular dystrophy R4
146,353,Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5
146,219,Delta-sarcoglycan-related limb-girdle muscular dystrophy R6
146,206554,Fukutin-related limb-girdle muscular dystrophy R13
146,289377,Early-onset myopathy with fatal cardiomyopathy
146,397937,Polyglucosan body myopathy type 1
146,217610,Neuromuscular disease with dilated cardiomyopathy
146,480,Kearns-Sayre syndrome
146,111,Barth syndrome
146,137675,Histiocytoid cardiomyopathy
146,217613,Mitochondrial disease with dilated cardiomyopathy
146,158,Systemic primary carnitine deficiency
146,217616,Fatty acid oxidation and ketogenesis disorder with dilated cardiomyopathy
146,64,Alström syndrome
146,1345,Cardiomyopathy-cataract-hip spine disease syndrome
146,1493,Vici syndrome
146,1606,1p36 deletion syndrome
146,2229,Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome
146,2515,Microcephaly-cardiomyopathy syndrome
146,59306,McLeod neuroacanthocytosis syndrome
146,65282,Carvajal syndrome
146,66634,Dilated cardiomyopathy with ataxia
146,73224,Kidney tubulopathy-dilated cardiomyopathy syndrome
146,79159,Isobutyryl-CoA dehydrogenase deficiency
146,168796,"Heart-hand syndrome, Slovenian type"
146,217622,Sensorineural deafness with dilated cardiomyopathy
146,476096,Erythrokeratodermia-cardiomyopathy syndrome
146,2663,Nathalie syndrome
146,217619,Syndrome associated with dilated cardiomyopathy
146,300751,Familial dilated cardiomyopathy with conduction defect due to LMNA mutation
146,91131,DK1-CDG
146,263494,DPM3-CDG
146,319646,PGM1-CDG
146,371176,Congenital disorder of glycosylation with dilated cardiomyopathy
146,217607,Familial dilated cardiomyopathy
146,2022,Endocardial fibroelastosis
146,563,Peripartum cardiomyopathy
146,183,Eosinophilic granulomatosis with polyangiitis
146,324767,Non-familial rare disease with dilated cardiomyopathy
146,217629,Non-familial dilated cardiomyopathy
146,217604,Dilated cardiomyopathy
146,1344,Atrial standstill
146,758,Pseudoxanthoma elasticum
146,75249,Familial isolated restrictive cardiomyopathy
146,85451,ATTRV122I amyloidosis
146,85447,ATTRV30M amyloidosis
146,271861,Hereditary ATTR amyloidosis
146,77259,Gaucher disease type 1
146,217638,Lysosomal disease with restrictive cardiomyopathy
146,217635,Familial restrictive cardiomyopathy
146,797,Sarcoidosis
146,75565,Tropical endomyocardial fibrosis
146,75566,Loeffler endocarditis
146,85445,AA amyloidosis
146,220393,Diffuse cutaneous systemic sclerosis
146,220402,Limited cutaneous systemic sclerosis
146,220407,Limited systemic sclerosis
146,90291,Systemic sclerosis
146,314970,Lymphocytic hypereosinophilic syndrome
146,314962,Secondary hypereosinophilic syndrome
146,3260,Idiopathic hypereosinophilic syndrome
146,314950,Primary hypereosinophilic syndrome
146,168956,Hypereosinophilic syndrome
146,570762,Infective endocarditis
146,330001,Wild type ATTR amyloidosis
146,217720,Non-familial restrictive cardiomyopathy
146,217632,Restrictive cardiomyopathy
146,3403,Uhl anomaly
146,54260,Left ventricular noncompaction
146,66529,Tako-Tsubo cardiomyopathy
146,478049,Lethal left ventricular non-compaction-seizures-hypotonia-cataract-developmental delay syndrome
146,217678,Unclassified cardiomyopathy
146,329874,Idiopathic giant cell myocarditis
146,167848,Rare cardiomyopathy
146,1359,Carney complex
146,615,Familial atrial myxoma
146,874,Primary adult heart tumor
146,875,Primary pediatric heart tumor
146,319340,Carney complex-trismus-pseudocamptodactyly syndrome
146,685004,Primary pericardial mesothelioma
146,168194,Rare cardiac tumor
146,595098,Timothy syndrome type 1
146,595105,Timothy syndrome type 2
146,595109,Atypical Timothy syndrome
146,65283,Timothy syndrome
146,90647,Jervell and Lange-Nielsen syndrome
146,101016,Romano-Ward syndrome
146,768,Familial long QT syndrome
146,844,Lown-Ganong-Levine syndrome
146,871,Familial progressive cardiac conduction defect
146,392,Holt-Oram syndrome
146,1342,Heart-hand syndrome type 3
146,1350,Heart-hand syndrome type 2
146,2946,Brachydactyly-long thumb syndrome
146,1479,Atrial septal defect-atrioventricular conduction defects syndrome
146,3283,His bundle tachycardia
146,3286,Catecholaminergic polymorphic ventricular tachycardia
146,130,Brugada syndrome
146,334,Familial atrial fibrillation
146,37553,Andersen-Tawil syndrome
146,51083,Familial short QT syndrome
146,51084,Torsade-de-pointes syndrome with short coupling interval
146,60041,Congenital heart block
146,166282,Familial sick sinus syndrome
146,228140,"Idiopathic ventricular fibrillation, non Brugada type"
146,324321,Sinoatrial node dysfunction and deafness
146,324410,X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome
146,435988,Chronic atrial and intestinal dysrhythmia syndrome
146,436242,Familial atrial tachyarrhythmia-infra-Hisian cardiac conduction disease
146,480864,Recurrent metabolic encephalomyopathic crises-rhabdomyolysis-cardiac arrhythmia-intellectual disability syndrome
146,542306,GNB5-related intellectual disability-cardiac arrhythmia syndrome
146,476084,BVES-related limb-girdle muscular dystrophy
146,101934,Genetic cardiac rhythm disease
146,3282,Multifocal atrial tachycardia
146,45452,Idiopathic neonatal atrial flutter
146,45453,Incessant infant ventricular tachycardia
146,218439,Non-genetic cardiac rhythm disease
146,218436,Rare cardiac rhythm disease
146,363618,LMNA-related cardiocutaneous progeria syndrome
146,97292,Cardiogenic shock
146,263352,Postcardiotomy right ventricular failure
146,565612,Primary triglyceride deposit cardiomyovasculopathy
146,97929,Rare cardiac disease
147,363999,Non-immune hydrops fetalis
147,364013,Immune hydrops fetalis
147,1041,Hydrops fetalis
147,97363,Unilateral multicystic dysplastic kidney
147,97364,Bilateral multicystic dysplastic kidney
147,1851,Multicystic dysplastic kidney
147,93928,Isolated epispadias
147,93929,Cloacal exstrophy
147,93930,Bladder exstrophy
147,322,Exstrophy-epispadias complex
147,97367,Renal tubular dysgenesis due to twin-twin transfusion
147,97368,Drug-related renal tubular dysgenesis
147,97369,Renal tubular dysgenesis of genetic origin
147,3033,Renal tubular dysgenesis
147,1309,Medullary sponge kidney
147,2260,Oligomeganephronia
147,237,Duplication of urethra
147,238642,"Primary megaureter, adult-onset form"
147,238646,"Congenital primary megaureter, obstructed form"
147,238650,"Congenital primary megaureter, refluxing form"
147,238654,"Congenital primary megaureter, nonrefluxing and unobstructed form"
147,544578,"Congenital primary megaureter, refluxing and obstructed form"
147,617,Congenital primary megaureter
147,97361,"Renal hypoplasia, unilateral"
147,97362,"Renal hypoplasia, bilateral"
147,93101,Renal hypoplasia
147,93172,"Renal dysplasia, unilateral"
147,93173,"Renal dysplasia, bilateral"
147,93108,Renal dysplasia
147,93176,Unilateral congenital megacalycosis
147,93177,Congenital bilateral megacalycosis
147,93109,Congenital megacalycosis
147,238637,Megacystis-megaureter syndrome
147,1848,"Renal agenesis, bilateral"
147,93100,"Renal agenesis, unilateral"
147,411709,Renal agenesis
147,2970,Prune belly syndrome
147,105,Atresia of urethra
147,93110,Posterior urethral valve
147,435372,Anterior urethral valve
147,435365,Fetal lower urinary tract obstruction
147,488,Urachal cyst
147,431341,Patent urachus
147,431344,Urachal sinus
147,431347,Urachal diverticulum
147,435743,Congenital urachal anomaly
147,289365,Familial vesicoureteral reflux
147,652528,Non-syndromic supernumerary kidneys
147,93546,Non-syndromic renal or urinary tract malformation
147,99226,Monosomy X syndrome
147,99228,Mosaic monosomy X syndrome
147,99413,Turner syndrome due to structural X chromosome anomalies
147,881,Turner syndrome
147,138,CHARGE syndrome
147,567,22q11.2 deletion syndrome
147,353277,Rubinstein-Taybi syndrome due to CREBBP mutations
147,353281,Rubinstein-Taybi syndrome due to 16p13.3 microdeletion
147,353284,Rubinstein-Taybi syndrome due to EP300 haploinsufficiency
147,783,Rubinstein-Taybi syndrome
147,648,Noonan syndrome
147,893,WAGR syndrome
147,107,BOR syndrome
147,195,Cat-eye syndrome
147,261600,Alagille syndrome due to 20p12 microdeletion
147,261619,Alagille syndrome due to a JAG1 point mutation
147,261629,Alagille syndrome due to a NOTCH2 point mutation
147,52,Alagille syndrome
147,96076,Beckwith-Wiedemann syndrome due to 11p15 microduplication
147,96193,Beckwith-Wiedemann syndrome due to paternal uniparental disomy of chromosome 11
147,231117,Beckwith-Wiedemann syndrome due to imprinting defect of 11p15
147,231120,Beckwith-Wiedemann syndrome due to CDKN1C mutation
147,231127,Beckwith-Wiedemann syndrome due to 11p15 microdeletion
147,231130,Beckwith-Wiedemann syndrome due to 11p15 translocation/inversion
147,238613,Beckwith-Wiedemann syndrome due to NSD1 mutation
147,116,Beckwith-Wiedemann syndrome
147,564,Meckel syndrome
147,289,Ellis Van Creveld syndrome
147,3378,Trisomy 13 syndrome
147,3380,Trisomy 18 syndrome
147,887,VACTERL/VATER association
147,373,Simpson-Golabi-Behmel syndrome
147,3027,Caudal regression syndrome
147,2052,Fraser syndrome
147,955,Hajdu-Cheney syndrome
147,971,Acrorenal syndrome
147,1064,Aniridia-renal agenesis-psychomotor retardation syndrome
147,1133,AREDYLD syndrome
147,1834,Axial mesodermal dysplasia spectrum
147,1896,EEC syndrome
147,1973,Faciocardiorenal syndrome
147,2186,Hydrocephalus-blue sclerae-nephropathy syndrome
147,2237,Hypoparathyroidism-sensorineural deafness-renal disease syndrome
147,2241,Megacystis-microcolon-intestinal hypoperistalsis syndrome
147,2256,Fibulo-ulnar hypoplasia-renal anomalies syndrome
147,672,Pallister-Hall syndrome
147,2278,Ichthyosis-intellectual disability-dwarfism-renal impairment syndrome
147,2669,Nephrosis-deafness-urinary tract-digital malformations syndrome
147,1475,Renal coloboma syndrome
147,2673,Neurofaciodigitorenal syndrome
147,2697,Arthrogryposis-renal dysfunction-cholestasis syndrome
147,2704,Urofacial syndrome
147,2750,Orofaciodigital syndrome type 1
147,2774,Multicentric carpo-tarsal osteolysis with or without nephropathy
147,2820,Spastic paraplegia-nephritis-deafness syndrome
147,2578,Mayer-Rokitansky-Küster-Hauser syndrome type 2
147,247775,Mayer-Rokitansky-Küster-Hauser syndrome type 1
147,3109,Mayer-Rokitansky-Küster-Hauser syndrome
147,798,Schinzel-Giedion syndrome
147,3186,Holoprosencephaly-radial heart renal anomalies syndrome
147,3316,Thomas syndrome
147,3326,Thymic-renal-anal-lung dysplasia
147,3327,Thyrocerebrorenal syndrome
147,3404,Ulbright-Hodes syndrome
147,1192,Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome
147,3411,Double uterus-hemivagina-renal agenesis syndrome
147,818,Smith-Lemli-Opitz syndrome
147,93111,HNF1B-related autosomal dominant tubulointerstitial kidney disease
147,217266,BNAR syndrome
147,439897,Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome
147,444069,Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome
147,2111,Cystic hamartoma of lung and kidney
147,500135,Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome
147,71273,Renal nutcracker syndrome
147,2838,Renal caliceal diverticuli-deafness syndrome
147,500095,Tall stature-intellectual disability-renal anomalies syndrome
147,508488,8q24.3 microdeletion syndrome
147,592574,Menke-Hennekam syndrome
147,521438,Congenital vertebral-cardiac-renal anomalies syndrome
147,3032,NPHP3-related Meckel-like syndrome
147,597743,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome
147,656130,PBX1-related congenital anomalies of kidney and urinary tract syndrome
147,689822,Structural heart defects-renal anomalies syndrome
147,93547,Syndromic renal or urinary tract malformation
147,93545,Renal or urinary tract malformation
147,99094,Laubry-Pezzi syndrome
147,99092,Interventricular septum aneurysm
147,474347,Rare congenital anomaly of ventricular septum
147,99095,Congenital Gerbode defect
147,99129,Congenital complete agenesis of pericardium
147,99130,Congenital partial agenesis of pericardium
147,99131,Pleuro-pericardial cyst
147,2846,Congenital pericardium anomaly
147,2041,Coronary arterial fistula
147,95491,Congenital coronary artery aneurysm
147,541443,Anomalous aortic origin of the left coronary artery
147,541454,Anomalous aortic origin of the right coronary artery
147,541478,Anomalous aortic origin of coronary artery
147,541507,Anomalous origin of coronary artery from the pulmonary artery
147,99087,Coronary ostial stenosis or atresia
147,99089,Abnormal number of coronary ostia
147,99090,Malposition of a coronary ostium
147,542822,Anomaly of the coronary ostia
147,1081,Coronary artery congenital malformation
147,1686,Cardiac diverticulum
147,1461,Criss-cross heart
147,2248,Hypoplastic left heart syndrome
147,1464,Univentricular heart
147,1208,Pulmonary atresia-intact ventricular septum syndrome
147,439,Isolated right ventricular hypoplasia
147,98723,Hypoplastic right heart syndrome
147,95483,Univentricular cardiopathy
147,1666,Dextrocardia
147,95854,Levocardia
147,97548,Right sided atrial isomerism
147,101063,Situs inversus totalis
147,157769,Situs ambiguus
147,566862,Left sided atrial isomerism
147,450,Heterotaxia
147,95443,Mesocardia
147,98716,Heart position anomaly
147,3303,Tetralogy of Fallot
147,665058,Common arterial trunk with pulmonary dominance and interrupted aortic arch
147,665044,Common arterial trunk with aortic dominance
147,3384,Common arterial trunk
147,99048,Pulmonary valve agenesis-intact ventricular septum-persistent ductus arteriosus syndrome
147,101206,Pulmonary valve agenesis-tetralogy of Fallot-absence of ductus arteriosus syndrome
147,982,Pulmonary valve agenesis
147,658574,Isolated pulmonary artery sling
147,99049,Pulmonary artery coming from patent ductus arteriosus
147,99050,Abnormal origin of right or left pulmonary artery from the aorta
147,1138,Abnormal origin of the pulmonary artery
147,1207,Pulmonary atresia with ventricular septal defect
147,2037,Congenital aortopulmonary window
147,99043,Double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis
147,99045,Double outlet right ventricle with subpulmonary ventricular septal defect
147,99046,Double outlet right ventricle with non-committed subpulmonary ventricular septal defect
147,423693,Double outlet right ventricle with subaortic or doubly committed ventricular septal defect
147,423712,"Double outlet right ventricle with atrioventricular septal defect, pulmonary stenosis, heterotaxy"
147,3426,Double outlet right ventricle
147,3427,Double outlet left ventricle
147,2445,Conotruncal heart malformations
147,3193,Supravalvular aortic stenosis
147,1457,Aorta coarctation
147,2299,Aortic arch interruption
147,99051,Discrete fixed membranous subaortic stenosis
147,99052,Discrete fibromuscular subaortic stenosis
147,99053,Tunnel subaortic stenosis
147,3092,Fixed subaortic stenosis
147,95448,Congenital aortic valve atresia
147,101043,Congenital aortic valve dysplasia
147,3093,Congenital aortic valve stenosis
147,402075,Familial bicuspid aortic valve
147,1456,Middle aortic syndrome
147,542568,Quadricuspid aortic valve
147,98718,Aortic malformation
147,980,Absence of the pulmonary artery
147,3190,Subpulmonary stenosis
147,3192,Supravalvular pulmonary stenosis
147,99054,Valvular pulmonary stenosis
147,3189,Congenital pulmonary valvar stenosis
147,1676,Idiopathic pulmonary artery dilatation
147,99083,Pulmonary artery hypoplasia
147,99084,Peripheral pulmonary stenosis
147,98719,Pulmonary artery or pulmonary branch anomaly
147,99042,Congenitally uncorrected transposition of the great arteries with coarctation
147,216718,Isolated congenitally uncorrected transposition of the great arteries
147,216729,Congenitally uncorrected transposition of the great arteries with cardiac malformation
147,860,Congenitally uncorrected transposition of the great arteries
147,216694,Congenitally corrected transposition of the great arteries
147,216675,Transposition of the great arteries
147,98717,Transposition of the great arteries and conotruncal cardiac anomaly
147,741,Familial mitral valve prolapse
147,1205,Mitral atresia
147,99057,Congenital mitral stenosis
147,99058,Hypoplasia of the mitral valve annulus
147,99059,Congenital supravalvular mitral ring
147,99060,Congenital unguarded mitral orifice
147,99061,Accessory mitral valve tissue
147,99062,Mitral valve agenesis
147,99063,Shone complex
147,101932,Anomaly of the mitral subvalvular apparatus
147,95464,Congenital mitral valve insufficiency and/or stenosis
147,95474,Double-orifice mitral valve
147,99064,Straddling and/or overriding mitral valve
147,95465,Cleft mitral valve
147,2447,Congenital mitral malformation
147,95459,Congenital tricuspid stenosis
147,95461,Straddling or overriding tricuspid valve
147,95462,Accessory tricuspid valve tissue
147,99055,Congenital anomaly of the tricuspid valve chordae
147,99056,Parachute tricuspid valve
147,95463,Anomaly of the tricuspid subvalvular apparatus
147,555874,Congenital tricuspid valve dysplasia
147,1880,Ebstein malformation of the tricuspid valve
147,1209,Tricuspid atresia
147,95457,Tricuspid valve agenesis
147,98721,Congenital tricuspid malformation
147,576227,Complete atrioventricular septal defect without ventricular hypoplasia
147,99067,Complete atrioventricular septal defect with ventricular hypoplasia
147,99068,Complete atrioventricular septal defect-tetralogy of Fallot
147,1329,Complete atrioventricular septal defect
147,576232,Partial atrioventricular septal defect with ventricular hypoplasia
147,576235,Partial atrioventricular septal defect without ventricular hypoplasia
147,1330,Partial atrioventricular septal defect
147,576242,Intermediate atrioventricular septal defect
147,98722,Atrioventricular septal defect
147,555877,FLNA-related X-linked myxomatous valvular dysplasia
147,98720,Atrioventricular valve anomaly
147,99075,Encircling double aortic arch
147,99076,Persistent fifth aortic arch
147,99077,Kommerell diverticulum
147,99078,Neuhauser anomaly
147,99079,Cervical aortic arch
147,99081,Right aortic arch
147,99082,Dysphagia lusoria
147,1132,Aortic arch defects
147,185,Scimitar syndrome
147,95486,Premature closure of the arterial duct
147,99072,Congenital patent ductus arteriosus aneurysm
147,466729,Familial patent arterial duct
147,95485,Arterial duct anomaly
147,1054,Aneurysm of sinus of Valsalva
147,99070,Aorto-right ventricular tunnel
147,99071,Aorto-left ventricular tunnel
147,3400,Aorto-ventricular tunnel
147,98725,Ascending aorta anomaly
147,98724,Congenital anomaly of the great arteries
147,99103,"Atrial septal defect, ostium secundum type"
147,99104,"Atrial septal defect, coronary sinus type"
147,99105,"Atrial septal defect, sinus venosus type"
147,99106,"Atrial septal defect, ostium primum type"
147,1478,Interatrial communication
147,99098,Cor triatriatum dexter
147,99099,Cor triatriatum sinister
147,1463,Triatrial heart
147,1677,Familial idiopathic dilatation of the right atrium
147,99100,Juxtaposition of the atrial appendages
147,99101,Ectasia of the right atrial appendage
147,99102,Ectasia of the left atrial appendage
147,95510,Atrial appendage anomaly
147,99107,Atrial septal aneurysm
147,568065,EPHB4-related lymphatic-related hydrops fetalis
147,98727,Rare atrial defect and interatrial communication
147,652668,Primary superior vena cava aneurysm
147,99109,Persistent left superior vena cava connecting through coronary sinus to left-sided atrium
147,99110,Right superior vena cava connecting to left-sided atrium
147,99111,Persistent left superior vena cava connecting to the roof of left-sided atrium
147,99112,Absence of innominate vein
147,99113,Subaortic course of innominate vein
147,99114,Agenesis of the superior vena cava
147,95498,Congenital anomaly of superior vena cava
147,652678,Primary inferior vena cava aneurysm
147,99119,Right inferior vena cava connecting to left-sided atrium
147,99120,Persistent eustachian valve
147,99121,Azygos continuation of the inferior vena cava
147,99122,Congenital stenosis of the inferior vena cava
147,99123,Inferior vena cava interruption without azygos continuation
147,95499,Congenital anomaly of the inferior vena cava
147,99117,Coronary sinus stenosis
147,99118,Coronary sinus atresia
147,95500,Congenital anomaly of the coronary sinus
147,95507,Congenital anomaly of hepatic vein
147,480531,Congenital portosystemic shunt
147,3091,Congenital systemic veins anomaly
147,99124,Congenital partial pulmonary venous return anomaly
147,99125,Congenital total pulmonary venous return anomaly
147,3090,Congenital pulmonary venous return anomaly
147,99126,Congenital pulmonary vein atresia
147,642071,Primary pulmonary vein stenosis
147,3188,Congenital pulmonary veins atresia or stenosis
147,98729,Congenital pulmonary veins anomaly
147,363189,Congenital anomaly of the great veins
147,448270,Ectopia cordis
147,1055,Congenital left ventricular aneurysm
147,88991,Rare congenital non-syndromic heart malformation
147,488618,Transketolase deficiency
147,467176,Severe hypotonia-psychomotor developmental delay-strabismus-cardiac septal defect syndrome
147,2475,White forelock with malformations
147,904,Williams syndrome
147,392,Holt-Oram syndrome
147,1352,Atrioventricular defect-blepharophimosis-radial and anal defect syndrome
147,2516,Microcephaly-cardiac defect-lung malsegmentation syndrome
147,2886,TARP syndrome
147,1479,Atrial septal defect-atrioventricular conduction defects syndrome
147,42775,PHACE syndrome
147,69737,Bosley-Salih-Alorainy syndrome
147,75389,Brain malformation-congenital heart disease-postaxial polydactyly syndrome
147,137628,Cardiac anomalies-heterotaxy syndrome
147,217026,"Microcephaly-facio-cardio-skeletal syndrome, Hadziselimovic type"
147,228190,Patent ductus arteriosus-bicuspid aortic valve-hand anomalies syndrome
147,664404,6q25.1 microdeletion syndrome
147,664401,Cardiac anomalies-short stature-joint hypermobility-facial dysmorphism syndrome due to TAB2 mutation
147,228410,Cardiac anomalies-short stature-joint hypermobility-facial dysmorphism syndrome
147,230851,Cardiac-valvular Ehlers-Danlos syndrome
147,284247,Familial retinal arterial macroaneurysm
147,369891,Developmental delay-facial dysmorphism syndrome due to MED13L deficiency
147,709,Peters plus syndrome
147,2953,Musculocontractural Ehlers-Danlos syndrome
147,3474,CHIME syndrome
147,79329,MGAT2-CDG
147,79333,COG7-CDG
147,284139,"Larsen-like syndrome, B3GAT3 type"
147,371183,Congenital disorder of glycosylation with cardiac malformation as a major feature
147,444077,Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome
147,3071,Costello syndrome
147,500,Noonan syndrome with multiple lentigines
147,1340,Cardiofaciocutaneous syndrome
147,2701,Noonan syndrome-like disorder with loose anagen hair
147,363972,Noonan syndrome-like disorder with juvenile myelomonocytic leukemia
147,638,Neurofibromatosis-Noonan syndrome
147,98733,Noonan syndrome and Noonan-related syndrome
147,352665,Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to 9q21.3 microdeletion
147,453504,Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to a point mutation
147,453499,Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome
147,3191,Subaortic stenosis-short stature syndrome
147,457193,KAT6-related intellectual disability-craniofacial anomalies-cardiac defects syndrome
147,562569,TMEM94-associated congenital heart defect-facial dysmorphism-developmental delay syndrome
147,870,Down syndrome
147,2519,Microcephaly-seizures-intellectual disability-heart disease syndrome
147,496693,Omphalocele-diaphragmatic hernia-cardiovascular anomalies-radial ray defect syndrome
147,508476,Cleft lip and palate-craniofacial dysmorphism-congenital heart defect-hearing loss syndrome
147,508498,Intellectual disability-cardiac anomalies-short stature-joint laxity syndrome
147,1354,Heart defects-limb shortening syndrome
147,580933,Lethal brain and heart developmental defects
