data,AverageAgeOfOnset,Date,DisorderGroup,ORPHAcode,OrphanetURL,Preferred term,TypeOfInheritance,Typology
45,['All ages'],2024-12-03 07:13:23,Disorder,45,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=45,Adenosine monophosphate deaminase deficiency,['Autosomal recessive'],Disease
46,"['Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,46,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=46,Adenylosuccinate lyase deficiency,['Autosomal recessive'],Disease
47,['Childhood'],2024-12-03 07:13:23,Subtype of disorder,47,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=47,X-linked agammaglobulinemia,"['Not applicable', 'X-linked recessive']",Clinical subtype
48,"['Adolescent', 'Adult']",2024-12-03 07:13:23,Disorder,48,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=48,Congenital bilateral absence of vas deferens,['Multigenic/multifactorial'],Morphological anomaly
49,"['Antenatal', 'Neonatal']",2024-12-03 07:13:23,Disorder,49,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=49,Penile agenesis,,Morphological anomaly
50,['Neonatal'],2024-12-03 07:13:23,Disorder,50,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=50,Aicardi syndrome,['X-linked dominant'],Disease
51,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,51,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=51,Aicardi-Goutières syndrome,"['Autosomal dominant', 'Autosomal recessive']",Disease
52,['All ages'],2024-12-03 07:13:23,Disorder,52,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=52,Alagille syndrome,['Autosomal dominant'],Malformation syndrome
53,['Childhood'],2024-12-03 07:13:23,Disorder,53,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=53,Albers-Schönberg osteopetrosis,['Autosomal dominant'],Malformation syndrome
54,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,54,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=54,X-linked recessive ocular albinism,['X-linked recessive'],Disease
55,['Neonatal'],2024-12-03 07:13:23,Group of disorders,55,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=55,Oculocutaneous albinism,['Autosomal recessive'],Clinical group
56,"['Adult', 'Infancy']",2024-12-03 07:13:23,Disorder,56,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=56,Alkaptonuria,['Autosomal recessive'],Disease
57,['Neonatal'],2024-12-03 07:13:23,Disorder,57,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=57,Glycogen storage disease due to aldolase A deficiency,['Autosomal recessive'],Disease
58,['All ages'],2024-12-03 07:13:23,Disorder,58,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58,Alexander disease,['Autosomal dominant'],Disease
59,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,59,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=59,Allan-Herndon-Dudley syndrome,['X-linked recessive'],Disease
60,['All ages'],2024-12-03 07:13:23,Disorder,60,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=60,Alpha-1-antitrypsin deficiency,['Autosomal recessive'],Disease
61,"['Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,61,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,Alpha-mannosidosis,['Autosomal recessive'],Disease
62,"['Adolescent', 'Childhood']",2024-12-03 07:13:23,Disorder,62,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=62,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3,['Autosomal recessive'],Disease
63,"['Adolescent', 'Adult', 'Childhood', 'Elderly']",2024-12-03 07:13:23,Disorder,63,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=63,Alport syndrome,"['Autosomal dominant', 'Autosomal recessive', 'X-linked dominant']",Disease
64,"['Adolescent', 'Adult', 'Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,64,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=64,Alström syndrome,['Autosomal recessive'],Disease
65,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,65,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=65,Leber congenital amaurosis,"['Autosomal dominant', 'Autosomal recessive']",Disease
67,['All ages'],2024-12-03 07:13:23,Disorder,67,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=67,Amoebiasis due to Entamoeba histolytica,['Not applicable'],Disease
68,['All ages'],2024-12-03 07:13:23,Disorder,68,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=68,Amoebiasis due to free-living amoebae,['Not applicable'],Disease
69,['All ages'],2024-12-03 07:13:23,Group of disorders,69,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=69,Amyloidosis,,Category
70,['All ages'],2024-12-03 07:13:23,Disorder,70,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=70,Proximal spinal muscular atrophy,['Autosomal recessive'],Disease
71,"['Childhood', 'Infancy']",2024-12-03 07:13:23,Disorder,71,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=71,Chylomicron retention disease,['Autosomal recessive'],Disease
72,['Infancy'],2024-12-03 07:13:23,Disorder,72,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=72,Angelman syndrome,"['Not applicable', 'Unknown']",Malformation syndrome
73,['All ages'],2024-12-03 07:13:23,Disorder,73,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=73,Gorham-Stout disease,['Not applicable'],Malformation syndrome
74,['All ages'],2024-12-03 07:13:23,Disorder,74,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=74,Angiostrongyliasis,['Not applicable'],Disease
76,['All ages'],2024-12-03 07:13:23,Disorder,76,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=76,Strongyloidiasis,['Not applicable'],Disease
78,['All ages'],2024-12-03 07:13:23,Disorder,78,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=78,Ankylostomiasis,['Not applicable'],Disease
79,['Childhood'],2024-12-03 07:13:23,Disorder,79,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=79,Congenital alpha2-antiplasmin deficiency,['Autosomal recessive'],Disease
81,"['Adult', 'Elderly']",2024-12-03 07:13:23,Disorder,81,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=81,Antisynthetase syndrome,['Not applicable'],Disease
82,"['Adolescent', 'Adult']",2024-12-03 07:13:23,Disorder,82,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=82,Hereditary thrombophilia due to congenital antithrombin deficiency,['Autosomal dominant'],Disease
83,"['Antenatal', 'Neonatal']",2024-12-03 07:13:23,Disorder,83,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=83,Antley-Bixler syndrome,"['Autosomal dominant', 'Autosomal recessive']",Malformation syndrome
84,['Childhood'],2024-12-03 07:13:23,Disorder,84,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=84,Fanconi anemia,"['Autosomal recessive', 'X-linked recessive']",Malformation syndrome
85,['Childhood'],2024-12-03 07:13:23,Group of disorders,85,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=85,Congenital dyserythropoietic anemia,"['Autosomal dominant', 'Autosomal recessive', 'X-linked recessive']",Clinical group
86,"['Adult', 'Elderly']",2024-12-03 07:13:23,Disorder,86,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=86,Familial abdominal aortic aneurysm,,Disease
87,"['Antenatal', 'Neonatal']",2024-12-03 07:13:23,Disorder,87,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=87,Apert syndrome,['Autosomal dominant'],Malformation syndrome
88,['Adult'],2024-12-03 07:13:23,Disorder,88,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=88,Idiopathic aplastic anemia,['Unknown'],Disease
90,"['Childhood', 'Infancy']",2024-12-03 07:13:23,Disorder,90,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=90,Argininemia,['Autosomal recessive'],Disease
91,['All ages'],2024-12-03 07:13:23,Disorder,91,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=91,Aromatase deficiency,['Autosomal recessive'],Disease
92,['Childhood'],2024-12-03 07:13:23,Group of disorders,92,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=92,Juvenile idiopathic arthritis,,Clinical group
93,['Childhood'],2024-12-03 07:13:23,Disorder,93,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,Aspartylglucosaminuria,['Autosomal recessive'],Disease
94,['All ages'],2024-12-03 07:13:23,Group of disorders,94,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94,Astrocytoma,,Clinical group
95,"['Adolescent', 'Childhood']",2024-12-03 07:13:23,Disorder,95,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95,Friedreich ataxia,['Autosomal recessive'],Disease
96,['All ages'],2024-12-03 07:13:23,Disorder,96,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96,Ataxia with vitamin E deficiency,['Autosomal recessive'],Disease
97,['Childhood'],2024-12-03 07:13:23,Disorder,97,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=97,Familial paroxysmal ataxia,['Autosomal dominant'],Disease
98,"['Adolescent', 'Adult', 'Childhood', 'Infancy']",2024-12-03 07:13:23,Disorder,98,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98,Autosomal recessive spastic ataxia of Charlevoix-Saguenay,['Autosomal recessive'],Disease
99,['All ages'],2024-12-03 07:13:23,Group of disorders,99,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99,Autosomal dominant cerebellar ataxia,['Autosomal dominant'],Category
100,"['Childhood', 'Infancy']",2024-12-03 07:13:23,Disorder,100,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=100,Ataxia-telangiectasia,['Autosomal recessive'],Disease
101,['All ages'],2024-12-03 07:13:23,Disorder,101,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101,Dentatorubral pallidoluysian atrophy,['Autosomal dominant'],Disease
102,['Adult'],2024-12-03 07:13:23,Disorder,102,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=102,Multiple system atrophy,"['Multigenic/multifactorial', 'Not applicable']",Disease
104,"['Adolescent', 'Adult']",2024-12-03 07:13:23,Disorder,104,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=104,Leber hereditary optic neuropathy,['Mitochondrial inheritance'],Disease
105,"['Antenatal', 'Neonatal']",2024-12-03 07:13:23,Disorder,105,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=105,Atresia of urethra,['Not applicable'],Morphological anomaly
107,"['Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,107,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=107,BOR syndrome,['Autosomal dominant'],Malformation syndrome
108,['All ages'],2024-12-03 07:13:23,Disorder,108,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=108,Babesiosis,['Not applicable'],Disease
109,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,109,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=109,Bannayan-Riley-Ruvalcaba syndrome,['Autosomal dominant'],Malformation syndrome
110,"['Antenatal', 'Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,110,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=110,Bardet-Biedl syndrome,"['Autosomal recessive', 'Oligogenic']",Disease
111,['Childhood'],2024-12-03 07:13:23,Disorder,111,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=111,Barth syndrome,['X-linked recessive'],Disease
112,"['Adolescent', 'Adult', 'Antenatal', 'Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,112,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=112,Bartter syndrome,"['Autosomal dominant', 'Autosomal recessive', 'X-linked recessive']",Disease
113,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,113,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=113,Bazex-Dupré-Christol syndrome,['X-linked dominant'],Disease
114,['Neonatal'],2024-12-03 07:13:23,Disorder,114,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=114,Auriculoosteodysplasia,['Autosomal dominant'],Malformation syndrome
115,['Neonatal'],2024-12-03 07:13:23,Disorder,115,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=115,Congenital contractural arachnodactyly,['Autosomal dominant'],Malformation syndrome
116,"['Antenatal', 'Neonatal']",2024-12-03 07:13:23,Disorder,116,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=116,Beckwith-Wiedemann syndrome,"['Autosomal dominant', 'Unknown']",Malformation syndrome
117,"['Adolescent', 'Adult', 'Childhood']",2024-12-03 07:13:23,Disorder,117,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=117,Behçet disease,['Multigenic/multifactorial'],Disease
118,"['Adolescent', 'Adult', 'Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,118,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,Beta-mannosidosis,['Autosomal recessive'],Disease
119,"['Adolescent', 'Childhood']",2024-12-03 07:13:23,Disorder,119,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=119,Beta-sarcoglycan-related limb-girdle muscular dystrophy R4,['Autosomal recessive'],Disease
122,"['Adolescent', 'Adult', 'Childhood', 'Elderly']",2024-12-03 07:13:23,Disorder,122,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=122,Birt-Hogg-Dubé syndrome,['Autosomal dominant'],Malformation syndrome
123,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,123,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=123,Björnstad syndrome,"['Autosomal dominant', 'Autosomal recessive']",Disease
124,"['Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,124,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=124,Diamond-Blackfan anemia,['Autosomal dominant'],Disease
125,"['Antenatal', 'Neonatal']",2024-12-03 07:13:23,Disorder,125,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=125,Bloom syndrome,['Autosomal recessive'],Disease
126,['Antenatal'],2024-12-03 07:13:23,Disorder,126,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=126,Blepharophimosis-ptosis-epicanthus inversus syndrome,"['Autosomal dominant', 'Not applicable']",Malformation syndrome
127,['Neonatal'],2024-12-03 07:13:23,Disorder,127,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=127,Borjeson-Forssman-Lehmann syndrome,['X-linked recessive'],Malformation syndrome
128,['All ages'],2024-12-03 07:13:23,Disorder,128,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=128,Diphyllobothriasis,['Not applicable'],Disease
129,['Adult'],2024-12-03 07:13:23,Disorder,129,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=129,Pseudopelade of Brocq,['Not applicable'],Disease
130,"['Adult', 'Childhood']",2024-12-03 07:13:23,Disorder,130,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=130,Brugada syndrome,"['Autosomal dominant', 'Not applicable']",Disease
131,['All ages'],2024-12-03 07:13:23,Disorder,131,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=131,Budd-Chiari syndrome,['Multigenic/multifactorial'],Disease
132,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,132,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=132,Hereditary butyrylcholinesterase deficiency,['Autosomal recessive'],Disease
133,['Adult'],2024-12-03 07:13:23,Disorder,133,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=133,Chronic beryllium disease,['Not applicable'],Disease
134,"['Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,134,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=134,Beta-ketothiolase deficiency,['Autosomal recessive'],Disease
135,['Childhood'],2024-12-03 07:13:23,Disorder,135,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=135,CACH syndrome,['Autosomal recessive'],Disease
136,['Adult'],2024-12-03 07:13:23,Disorder,136,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=136,Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,['Autosomal dominant'],Disease
137,"['Infancy', 'Neonatal']",2024-12-03 07:13:23,Group of disorders,137,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=137,Congenital disorder of glycosylation,"['Autosomal recessive', 'X-linked recessive']",Category
138,['Neonatal'],2024-12-03 07:13:23,Disorder,138,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=138,CHARGE syndrome,"['Autosomal dominant', 'Unknown']",Malformation syndrome
139,"['Antenatal', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,139,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=139,CHILD syndrome,['X-linked dominant'],Disease
140,"['Antenatal', 'Neonatal']",2024-12-03 07:13:23,Disorder,140,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=140,Campomelic dysplasia,['Autosomal dominant'],Malformation syndrome
141,"['Childhood', 'Infancy', 'Neonatal']",2024-12-03 07:13:23,Disorder,141,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141,Canavan disease,['Autosomal recessive'],Disease
142,"['Adult', 'Elderly']",2024-12-03 07:13:23,Disorder,142,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=142,Anaplastic thyroid carcinoma,['Not applicable'],Disease
143,['Adult'],2024-12-03 07:13:23,Disorder,143,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=143,Parathyroid carcinoma,['Not applicable'],Disease
144,['Adult'],2024-12-03 07:13:23,Disorder,144,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=144,Lynch syndrome,['Autosomal dominant'],Disease
